from	to	sign
v_Myc	v_Bclaf1	a
v_Bclaf1	v_CDK46CycD	a
v_Myc	v_CDK46CycD	a
v_Junb	v_CIPKIP	a
v_Ikzf1	v_Cebpa	i
v_Spi1	v_Cebpa	a
v_Gata2	v_Cebpa	a
v_Junb	v_Egr1	a
v_Gata2	v_Egr1	a
v_Junb	v_Fli1	a
v_Klf1	v_Fli1	i
v_Gata1	v_Fli1	a
v_Fli1	v_Gata1	a
v_Gata1	v_Gata1	a
v_Gata2	v_Gata1	a
v_Ikzf1	v_Gata1	i
v_Spi1	v_Gata1	i
v_Egr1	v_Gata2	a
v_Gata1	v_Gata2	i
v_Gata2	v_Gata2	a
v_Spi1	v_Gata2	i
v_Zfpm1	v_Gata2	i
v_Gata2	v_Ikzf1	a
v_Myc	v_Junb	a
v_Egr1	v_Junb	a
v_Fli1	v_Klf1	i
v_Gata1	v_Klf1	a
v_Bclaf1	v_Myc	a
v_Cebpa	v_Myc	a
v_Cebpa	v_Spi1	a
v_Spi1	v_Spi1	a
v_Gata1	v_Spi1	i
v_Gata2	v_Spi1	i
v_Spi1	v_Tal1	i
v_Gata1	v_Tal1	a
v_Gata1	v_Zfpm1	a
