Network_no	Model_no	func_type	derrida_coeff	net_sen	final_hamming	fragility
0	0	IMR	1.6145833333333333	1.6145833333333333	2.347650553385417	0.020676269531250017
1	0	IMR	1.7708333333333333	1.7708333333333333	2.5575358072916665	0.9424641927083334
2	0	IMR	1.6458333333333333	1.6458333333333333	2.3439127604166665	2.3439127604166665
3	0	IMR	1.7552083333333333	1.7552083333333333	3.9082332356770837	0.06545328776041671
4	0	IMR	1.7291666666666667	1.7291666666666667	2.44677734375	2.44677734375
5	0	IMR	1.7708333333333333	1.7708333333333333	2.2669270833333335	2.2669270833333335
6	0	IMR	1.6145833333333333	1.6145833333333333	1.625	1.625
7	0	IMR	1.5208333333333333	1.5208333333333333	2.4546712239583335	0.8069661458333334
8	0	IMR	1.8854166666666667	1.8854166666666667	3.4342472330729166	0.04978841145833338
9	0	IMR	1.9427083333333333	1.9427083333333333	4.526188151041667	4.453206380208333
10	0	IMR	1.9270833333333333	1.9270833333333333	2.5673828125	2.5673828125
11	0	IMR	1.5989583333333333	1.5989583333333333	2.1759537760416667	1.6603181966145835
12	0	IMR	1.65625	1.65625	2.4384765625	2.4384765625
13	0	IMR	1.6979166666666667	1.6979166666666667	2.2027994791666665	2.2027994791666665
14	0	IMR	1.7083333333333333	1.7083333333333333	2.4140625	2.4140625
15	0	IMR	1.7447916666666667	1.7447916666666667	2.6907552083333335	1.6917317708333333
16	0	IMR	1.46875	1.46875	2.0773111979166665	2.0773111979166665
17	0	IMR	1.8385416666666667	1.8385416666666667	2.3756266276041664	1.8094864908854167
18	0	IMR	1.6510416666666667	1.6510416666666667	2.8641764322916665	2.862060546875
19	0	IMR	1.8072916666666667	1.8072916666666667	2.472506510416667	2.4325073242187503
20	0	IMR	1.5104166666666667	1.5104166666666667	2.6890348307291667	1.180517578125
21	0	IMR	1.5885416666666667	1.5885416666666667	3.39848388671875	0.08057861328125006
22	0	IMR	1.625	1.625	2.11328125	2.1116536458333335
23	0	IMR	1.7552083333333333	1.7552083333333333	2.8982747395833335	1.4129231770833333
24	0	IMR	1.828125	1.828125	3.9329044596354166	2.4701822916666667
25	0	IMR	1.7916666666666667	1.7916666666666667	3.1495768229166665	3.1495768229166665
26	0	IMR	1.6302083333333333	1.6302083333333333	2.1051432291666665	2.1051432291666665
27	0	IMR	1.6666666666666667	1.6666666666666667	2.5390625	0.017578125
28	0	IMR	1.609375	1.609375	2.3868815104166665	1.5328776041666667
29	0	IMR	1.7604166666666667	1.7604166666666667	3.4260660807291665	1.9249674479166667
30	0	IMR	1.8125	1.8125	2.6192114257812498	2.32548095703125
31	0	IMR	1.6875	1.6875	1.9342447916666667	1.9342447916666667
32	0	IMR	1.5104166666666667	1.5104166666666667	1.9609375	1.9609375
33	0	IMR	1.6979166666666667	1.6979166666666667	2.4891764322916665	1.4994303385416667
34	0	IMR	1.6979166666666667	1.6979166666666667	2.5438639322916665	2.0355631510416665
35	0	IMR	1.84375	1.84375	3.283203125	3.283203125
36	0	IMR	1.828125	1.828125	3.2288004557291665	3.0059562174479164
37	0	IMR	1.6614583333333333	1.6614583333333333	3.7450187174479166	1.1777628580729165
38	0	IMR	1.5364583333333333	1.5364583333333333	2.8935953776041665	1.9060872395833333
39	0	IMR	1.6979166666666667	1.6979166666666667	4.119791666666667	4.119791666666667
40	0	IMR	1.5833333333333333	1.5833333333333333	2.3671875	2.3671875
41	0	IMR	1.7916666666666667	1.7916666666666667	2.754544270833333	2.5067578125
42	0	IMR	1.7291666666666667	1.7291666666666667	2.8183447265625	1.73849365234375
43	0	IMR	1.7239583333333333	1.7239583333333333	2.7760416666666665	2.7222493489583335
44	0	IMR	1.4947916666666667	1.4947916666666667	2.9079093424479168	1.964427083333333
45	0	IMR	1.5729166666666667	1.5729166666666667	2.349609375	2.349609375
46	0	IMR	1.5572916666666667	1.5572916666666667	2.9529622395833335	2.9529622395833335
47	0	IMR	1.7395833333333333	1.7395833333333333	2.7622884114583335	2.6456705729166665
48	0	IMR	1.6145833333333333	1.6145833333333333	2.6062825520833335	2.6062825520833335
49	0	IMR	1.8385416666666667	1.8385416666666667	2.6393229166666665	2.6393229166666665
50	0	IMR	1.6979166666666667	1.6979166666666667	2.3977864583333335	2.3977864583333335
51	0	IMR	1.7291666666666667	1.7291666666666667	1.541015625	0.8333333333333334
52	0	IMR	1.6302083333333333	1.6302083333333333	3.7316080729166665	2.6595865885416665
53	0	IMR	1.4635416666666667	1.4635416666666667	3.1260530598958334	1.1383740234375
54	0	IMR	1.6770833333333333	1.6770833333333333	2.5595703125	2.3033854166666665
55	0	IMR	1.5885416666666667	1.5885416666666667	2.5262858072916665	1.262939453125
56	0	IMR	1.71875	1.71875	2.2493489583333335	2.2493489583333335
57	0	IMR	1.7708333333333333	1.7708333333333333	3.112060546875	1.3285319010416667
58	0	IMR	1.6510416666666667	1.6510416666666667	2.8849454752604173	0.57943115234375
59	0	IMR	1.671875	1.671875	3.0222062174479167	2.8016267903645833
60	0	IMR	1.484375	1.484375	1.5712890625	1.5712890625
61	0	IMR	1.7447916666666667	1.7447916666666667	4.185546875	0.0
62	0	IMR	1.8541666666666667	1.8541666666666667	2.3759765625	2.3759765625
63	0	IMR	1.7083333333333333	1.7083333333333333	2.7473958333333335	2.7473958333333335
64	0	IMR	1.6666666666666667	1.6666666666666667	4.052210286458334	0.08958658854166669
65	0	IMR	1.6666666666666667	1.6666666666666667	1.9136962890625	1.0734049479166667
66	0	IMR	1.6822916666666667	1.6822916666666667	2.5965169270833335	2.5965169270833335
67	0	IMR	1.734375	1.734375	3.7960611979166665	3.7960611979166665
68	0	IMR	1.5260416666666667	1.5260416666666667	2.1670060221354164	1.9809700520833335
69	0	IMR	1.6145833333333333	1.6145833333333333	2.48974609375	2.48974609375
70	0	IMR	1.65625	1.65625	3.6578776041666665	2.6187744140625
71	0	IMR	1.53125	1.53125	3.453181966145833	1.7641682942708332
72	0	IMR	1.625	1.625	2.706153971354167	2.6098323567708333
73	0	IMR	1.7864583333333333	1.7864583333333333	3.4586588541666665	1.7578531901041667
74	0	IMR	1.8072916666666667	1.8072916666666667	4.246590169270834	0.14858479817708345
75	0	IMR	1.7760416666666667	1.7760416666666667	2.40087890625	2.40087890625
76	0	IMR	1.7708333333333333	1.7708333333333333	2.5087996419270833	2.06458740234375
77	0	IMR	1.6770833333333333	1.6770833333333333	2.26416015625	2.26416015625
78	0	IMR	1.890625	1.890625	3.95751953125	3.95751953125
79	0	IMR	1.5989583333333333	1.5989583333333333	1.79931640625	1.0364583333333333
80	0	IMR	1.59375	1.59375	2.4632161458333335	2.3627115885416665
81	0	IMR	1.7291666666666667	1.7291666666666667	3.2144978841145835	2.238037109375
82	0	IMR	1.6770833333333333	1.6770833333333333	2.171875	1.3528645833333333
83	0	IMR	1.8072916666666667	1.8072916666666667	2.9554264322916666	2.6003214518229165
84	0	IMR	1.765625	1.765625	2.8167317708333335	2.8167317708333335
85	0	IMR	1.9166666666666667	1.9166666666666667	3.216064453125	2.7228190104166665
86	0	IMR	1.7864583333333333	1.7864583333333333	2.542724609375	2.4847819010416665
87	0	IMR	1.7291666666666667	1.7291666666666667	2.44921875	0.0
88	0	IMR	1.7395833333333333	1.7395833333333333	3.715743815104167	1.6536653645833332
89	0	IMR	1.671875	1.671875	2.9785107421875003	0.056703287760416714
