Network_no	Model_no	func_type	derrida_coeff	net_sen	final_hamming	fragility
0	0	IMR	1.4583333333333333	1.4583333333333333	2.218984375	1.9644637044270834
1	0	IMR	1.3489583333333333	1.3489583333333333	2.10546875	0.10546875
2	0	IMR	1.4635416666666667	1.4635416666666667	2.4562760416666665	2.0597696940104164
3	0	IMR	1.3125	1.3125	1.93798828125	1.93798828125
4	0	IMR	1.3854166666666667	1.3854166666666667	2.2164851888020833	1.9768880208333333
5	0	IMR	1.3125	1.3125	1.6953125	1.6953125
6	0	IMR	1.3229166666666667	1.3229166666666667	2.3407389322916665	2.1311848958333335
7	0	IMR	1.3229166666666667	1.3229166666666667	1.4410807291666667	1.4248046875
8	0	IMR	1.3385416666666667	1.3385416666666667	3.3386360677083338	0.02519205729166669
9	0	IMR	1.3958333333333333	1.3958333333333333	2.782713216145833	2.3691031901041666
10	0	IMR	1.3229166666666667	1.3229166666666667	1.9765625	1.6998697916666667
11	0	IMR	1.46875	1.46875	2.7858683268229165	2.354852701822917
12	0	IMR	1.3541666666666667	1.3541666666666667	1.7740885416666667	1.7740885416666667
13	0	IMR	1.390625	1.390625	2.3153841145833334	0.3480330403645833
14	0	IMR	1.40625	1.40625	2.16552734375	2.01318359375
15	0	IMR	1.25	1.25	1.8885481770833332	0.04645182291666666
16	0	IMR	1.15625	1.15625	1.5024218750000002	1.0567643229166668
17	0	IMR	1.125	1.125	1.7135416666666667	1.7135416666666667
18	0	IMR	1.28125	1.28125	1.34375	0.09375
19	0	IMR	1.1666666666666667	1.1666666666666667	1.6027929687500002	0.9049804687499999
20	0	IMR	1.3958333333333333	1.3958333333333333	1.7469075520833333	1.7469075520833333
21	0	IMR	1.40625	1.40625	2.1625651041666667	1.0447916666666668
22	0	IMR	1.28125	1.28125	2.3828125	2.3828125
23	0	IMR	1.28125	1.28125	2.50927734375	2.50927734375
24	0	IMR	1.3854166666666667	1.3854166666666667	1.5823567708333333	1.4990234375
25	0	IMR	1.2083333333333333	1.2083333333333333	2.1139322916666665	1.947265625
26	0	IMR	1.3229166666666667	1.3229166666666667	1.94921875	1.94921875
27	0	IMR	1.2916666666666667	1.2916666666666667	1.6276041666666667	1.6276041666666667
28	0	IMR	1.5364583333333333	1.5364583333333333	2.5977376302083335	0.0
29	0	IMR	1.2916666666666667	1.2916666666666667	1.3391927083333333	1.2389322916666667
30	0	IMR	1.4375	1.4375	2.1015625	0.0
31	0	IMR	1.3125	1.3125	2.64257080078125	2.49554443359375
32	0	IMR	1.2916666666666667	1.2916666666666667	1.56111328125	0.3300651041666666
33	0	IMR	1.3229166666666667	1.3229166666666667	2.0129931640625	1.6393929036458335
34	0	IMR	1.46875	1.46875	2.74951171875	2.174560546875
35	0	IMR	1.4635416666666667	1.4635416666666667	1.7916666666666667	1.7916666666666667
36	0	IMR	1.3125	1.3125	1.8453776041666667	1.8453776041666667
37	0	IMR	1.28125	1.28125	1.6158854166666667	1.6105143229166667
38	0	IMR	1.3333333333333333	1.3333333333333333	1.5670572916666667	0.0
39	0	IMR	1.3229166666666667	1.3229166666666667	2.0752766927083335	0.3677571614583333
40	0	IMR	1.2916666666666667	1.2916666666666667	2.16455078125	1.8179524739583333
41	0	IMR	1.3229166666666667	1.3229166666666667	2.45228515625	0.04277669270833337
42	0	IMR	1.25	1.25	1.8378938802083333	1.8378938802083333
43	0	IMR	1.4635416666666667	1.4635416666666667	2.4554036458333335	2.4554036458333335
44	0	IMR	1.3645833333333333	1.3645833333333333	2.1687825520833335	2.1687825520833335
45	0	IMR	1.25	1.25	1.1197916666666667	1.1197916666666667
46	0	IMR	1.25	1.25	2.2421875	1.5638020833333333
47	0	IMR	1.4479166666666667	1.4479166666666667	2.0109049479166665	2.0109049479166665
48	0	IMR	1.3229166666666667	1.3229166666666667	2.0709635416666665	1.1056315104166667
49	0	IMR	1.1666666666666667	1.1666666666666667	2.245833333333333	0.0
50	0	IMR	1.28125	1.28125	1.5870768229166667	1.5870768229166667
51	0	IMR	1.5260416666666667	1.5260416666666667	2.841796875	1.568359375
52	0	IMR	1.28125	1.28125	1.85693359375	1.85693359375
53	0	IMR	1.2395833333333333	1.2395833333333333	2.5558268229166665	2.5558268229166665
54	0	IMR	1.2395833333333333	1.2395833333333333	1.8333333333333333	0.7760416666666666
55	0	IMR	1.25	1.25	2.25537109375	0.8006184895833334
56	0	IMR	1.484375	1.484375	1.8271484375	1.826171875
57	0	IMR	1.25	1.25	2.257096354166667	1.5605208333333334
58	0	IMR	1.1666666666666667	1.1666666666666667	1.0	0.4166666666666667
59	0	IMR	1.3645833333333333	1.3645833333333333	2.340054524739583	0.9516878255208333
60	0	IMR	1.125	1.125	1.21875	0.13958333333333336
61	0	IMR	1.2083333333333333	1.2083333333333333	1.59375	1.59375
62	0	IMR	1.3333333333333333	1.3333333333333333	2.2410481770833335	0.8191731770833334
63	0	IMR	1.125	1.125	1.3333333333333333	1.25
64	0	IMR	1.1979166666666667	1.1979166666666667	1.125	1.0416666666666667
65	0	IMR	1.40625	1.40625	2.9367561848958332	0.8598535156250001
66	0	IMR	1.3333333333333333	1.3333333333333333	1.3396809895833333	1.3396809895833333
67	0	IMR	1.375	1.375	2.4152018229166665	2.4152018229166665
