	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF
26	7	10110010111110111111101111111111001000001011001010110010111110110010000010110010101100101111101100000000001000000010000010110010	iiaaiai	64	N	NA	7	iiaaiai	64	10110010111110111111101111111111001000001011001010110010111110110010000010110010101100101111101100000000001000000010000010110010
27	7	01110001111101111111011111111111000100000111000101110001111101110001000001110001011100011111011100000000000100000001000001110001	iiaaiaa	64	N	NA	7	iiaaiaa	64	01110001111101111111011111111111000100000111000101110001111101110001000001110001011100011111011100000000000100000001000001110001
28	7	10001110111011111110111111111111000010001000111010001110111011110000100010001110100011101110111100000000000010000000100010001110	iiaaaii	64	N	NA	7	iiaaaii	64	10001110111011111110111111111111000010001000111010001110111011110000100010001110100011101110111100000000000010000000100010001110
29	7	01001101110111111101111111111111000001000100110101001101110111110000010001001101010011011101111100000000000001000000010001001101	iiaaaia	64	N	NA	7	iiaaaia	64	01001101110111111101111111111111000001000100110101001101110111110000010001001101010011011101111100000000000001000000010001001101
30	7	00101011101111111011111111111111000000100010101100101011101111110000001000101011001010111011111100000000000000100000001000101011	iiaaaai	64	N	NA	7	iiaaaai	64	00101011101111111011111111111111000000100010101100101011101111110000001000101011001010111011111100000000000000100000001000101011
31	7	00010111011111110111111111111111000000010001011100010111011111110000000100010111000101110111111100000000000000010000000100010111	iiaaaaa	64	N	NA	7	iiaaaaa	64	00010111011111110111111111111111000000010001011100010111011111110000000100010111000101110111111100000000000000010000000100010111
32	7	11111110111010001110100010000000111111111111111011111110111010001110100010000000100000000000000011111110111010001110100010000000	iaiiiii	64	N	NA	7	iaiiiii	64	11111110111010001110100010000000111111111111111011111110111010001110100010000000100000000000000011111110111010001110100010000000
33	7	11111101110101001101010001000000111111111111110111111101110101001101010001000000010000000000000011111101110101001101010001000000	iaiiiia	64	N	NA	7	iaiiiia	64	11111101110101001101010001000000111111111111110111111101110101001101010001000000010000000000000011111101110101001101010001000000
34	7	11111011101100101011001000100000111111111111101111111011101100101011001000100000001000000000000011111011101100101011001000100000	iaiiiai	64	N	NA	7	iaiiiai	64	11111011101100101011001000100000111111111111101111111011101100101011001000100000001000000000000011111011101100101011001000100000
35	7	11110111011100010111000100010000111111111111011111110111011100010111000100010000000100000000000011110111011100010111000100010000	iaiiiaa	64	N	NA	7	iaiiiaa	64	11110111011100010111000100010000111111111111011111110111011100010111000100010000000100000000000011110111011100010111000100010000
36	7	11101111100011101000111000001000111111111110111111101111100011101000111000001000000010000000000011101111100011101000111000001000	iaiiaii	64	N	NA	7	iaiiaii	64	11101111100011101000111000001000111111111110111111101111100011101000111000001000000010000000000011101111100011101000111000001000
37	7	11011111010011010100110100000100111111111101111111011111010011010100110100000100000001000000000011011111010011010100110100000100	iaiiaia	64	N	NA	7	iaiiaia	64	11011111010011010100110100000100111111111101111111011111010011010100110100000100000001000000000011011111010011010100110100000100
38	7	10111111001010110010101100000010111111111011111110111111001010110010101100000010000000100000000010111111001010110010101100000010	iaiiaai	64	N	NA	7	iaiiaai	64	10111111001010110010101100000010111111111011111110111111001010110010101100000010000000100000000010111111001010110010101100000010
39	7	01111111000101110001011100000001111111110111111101111111000101110001011100000001000000010000000001111111000101110001011100000001	iaiiaaa	64	N	NA	7	iaiiaaa	64	01111111000101110001011100000001111111110111111101111111000101110001011100000001000000010000000001111111000101110001011100000001
40	7	11101000111111101000000011101000111111101111111111101000111111101000000011101000000000001000000011101000111111101000000011101000	iaiaiii	64	N	NA	7	iaiaiii	64	11101000111111101000000011101000111111101111111111101000111111101000000011101000000000001000000011101000111111101000000011101000
41	7	11010100111111010100000011010100111111011111111111010100111111010100000011010100000000000100000011010100111111010100000011010100	iaiaiia	64	N	NA	7	iaiaiia	64	11010100111111010100000011010100111111011111111111010100111111010100000011010100000000000100000011010100111111010100000011010100
42	7	10110010111110110010000010110010111110111111111110110010111110110010000010110010000000000010000010110010111110110010000010110010	iaiaiai	64	N	NA	7	iaiaiai	64	10110010111110110010000010110010111110111111111110110010111110110010000010110010000000000010000010110010111110110010000010110010
43	7	01110001111101110001000001110001111101111111111101110001111101110001000001110001000000000001000001110001111101110001000001110001	iaiaiaa	64	N	NA	7	iaiaiaa	64	01110001111101110001000001110001111101111111111101110001111101110001000001110001000000000001000001110001111101110001000001110001
44	7	10001110111011110000100010001110111011111111111110001110111011110000100010001110000000000000100010001110111011110000100010001110	iaiaaii	64	N	NA	7	iaiaaii	64	10001110111011110000100010001110111011111111111110001110111011110000100010001110000000000000100010001110111011110000100010001110
45	7	01001101110111110000010001001101110111111111111101001101110111110000010001001101000000000000010001001101110111110000010001001101	iaiaaia	64	N	NA	7	iaiaaia	64	01001101110111110000010001001101110111111111111101001101110111110000010001001101000000000000010001001101110111110000010001001101
46	7	00101011101111110000001000101011101111111111111100101011101111110000001000101011000000000000001000101011101111110000001000101011	iaiaaai	64	N	NA	7	iaiaaai	64	00101011101111110000001000101011101111111111111100101011101111110000001000101011000000000000001000101011101111110000001000101011
47	7	00010111011111110000000100010111011111111111111100010111011111110000000100010111000000000000000100010111011111110000000100010111	iaiaaaa	64	N	NA	7	iaiaaaa	64	00010111011111110000000100010111011111111111111100010111011111110000000100010111000000000000000100010111011111110000000100010111
48	7	11101000100000001111111011101000111111101110100011111111111111101000000000000000111010001000000011101000100000001111111011101000	iaaiiii	64	N	NA	7	iaaiiii	64	11101000100000001111111011101000111111101110100011111111111111101000000000000000111010001000000011101000100000001111111011101000
49	7	11010100010000001111110111010100111111011101010011111111111111010100000000000000110101000100000011010100010000001111110111010100	iaaiiia	64	N	NA	7	iaaiiia	64	11010100010000001111110111010100111111011101010011111111111111010100000000000000110101000100000011010100010000001111110111010100
