	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF
117	7	00000100000000000100110100000100010011010000010011011111010011010100110100000100110111110100110111011111010011011111111111011111	aaaiaia	64	N	NA	7	aaaiaia	64	00000100000000000100110100000100010011010000010011011111010011010100110100000100110111110100110111011111010011011111111111011111
118	7	00000010000000000010101100000010001010110000001010111111001010110010101100000010101111110010101110111111001010111111111110111111	aaaiaai	64	N	NA	7	aaaiaai	64	00000010000000000010101100000010001010110000001010111111001010110010101100000010101111110010101110111111001010111111111110111111
119	7	00000001000000000001011100000001000101110000000101111111000101110001011100000001011111110001011101111111000101111111111101111111	aaaiaaa	64	N	NA	7	aaaiaaa	64	00000001000000000001011100000001000101110000000101111111000101110001011100000001011111110001011101111111000101111111111101111111
120	7	00000000100000001000000011101000100000001110100011101000111111101000000011101000111010001111111011101000111111101111111011111111	aaaaiii	64	N	NA	7	aaaaiii	64	00000000100000001000000011101000100000001110100011101000111111101000000011101000111010001111111011101000111111101111111011111111
121	7	00000000010000000100000011010100010000001101010011010100111111010100000011010100110101001111110111010100111111011111110111111111	aaaaiia	64	N	NA	7	aaaaiia	64	00000000010000000100000011010100010000001101010011010100111111010100000011010100110101001111110111010100111111011111110111111111
122	7	00000000001000000010000010110010001000001011001010110010111110110010000010110010101100101111101110110010111110111111101111111111	aaaaiai	64	N	NA	7	aaaaiai	64	00000000001000000010000010110010001000001011001010110010111110110010000010110010101100101111101110110010111110111111101111111111
123	7	00000000000100000001000001110001000100000111000101110001111101110001000001110001011100011111011101110001111101111111011111111111	aaaaiaa	64	N	NA	7	aaaaiaa	64	00000000000100000001000001110001000100000111000101110001111101110001000001110001011100011111011101110001111101111111011111111111
124	7	00000000000010000000100010001110000010001000111010001110111011110000100010001110100011101110111110001110111011111110111111111111	aaaaaii	64	N	NA	7	aaaaaii	64	00000000000010000000100010001110000010001000111010001110111011110000100010001110100011101110111110001110111011111110111111111111
125	7	00000000000001000000010001001101000001000100110101001101110111110000010001001101010011011101111101001101110111111101111111111111	aaaaaia	64	N	NA	7	aaaaaia	64	00000000000001000000010001001101000001000100110101001101110111110000010001001101010011011101111101001101110111111101111111111111
126	7	00000000000000100000001000101011000000100010101100101011101111110000001000101011001010111011111100101011101111111011111111111111	aaaaaai	64	N	NA	7	aaaaaai	64	00000000000000100000001000101011000000100010101100101011101111110000001000101011001010111011111100101011101111111011111111111111
127	7	00000000000000010000000100010111000000010001011100010111011111110000000100010111000101110111111100010111011111110111111111111111	aaaaaaa	64	N	NA	7	aaaaaaa	64	00000000000000010000000100010111000000010001011100010111011111110000000100010111000101110111111100010111011111110111111111111111
