	Unnamed: 0	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF	avg_sen	complexity
0	0	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	0	0	constant	0	0	0.0	0
1	1	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	1	0	constant	0	0	0.0	0
2	2	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	2	0	constant	0	0	0.0	0
3	3	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	3	0	constant	0	0	0.0	0
4	4	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	4	0	constant	0	0	0.0	0
5	5	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	5	0	constant	0	0	0.0	0
6	6	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	6	0	constant	0	0	0.0	0
7	7	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	7	0	constant	0	0	0.0	0
8	8	8	0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	0	7	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
9	9	8	0100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	1	7	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
10	10	8	0100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	2	7	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
11	11	8	0100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	3	7	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
12	12	8	0100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	4	7	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
13	13	8	0100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	5	7	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
14	14	8	0101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	6	7	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
15	15	8	0101010001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	8	Y	7	8	iiiiiiia	8	0101010001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.390625	28
16	16	8	0010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiai	2	Y	0	7	iiiiiai	1	00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
17	17	8	0010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiai	2	Y	1	7	iiiiiai	1	00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
18	18	8	0010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiai	2	Y	2	7	iiiiiai	1	00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
19	19	8	0010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiai	2	Y	3	7	iiiiiai	1	00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
20	20	8	0010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiai	2	Y	4	7	iiiiiai	1	00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
21	21	8	0010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiai	2	Y	5	7	iiiiiai	1	00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
22	22	8	0011001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiai	8	Y	6	8	iiiiiiai	8	0011001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.390625	28
23	23	8	0011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiai	2	Y	7	7	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
24	24	8	0111000100010000000100000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001110001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	iiiiiiaa	16	Y	0	7	iiiiiaa	8	01110001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	0.65625	27
25	25	8	0111000100010000000100000000000000010000000000000000000000000000011100010001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	iiiiiiaa	16	Y	1	7	iiiiiaa	8	01110001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	0.65625	27
26	26	8	0111000100010000000100000000000001110001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiaa	16	Y	2	7	iiiiiaa	8	01110001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	0.65625	27
27	27	8	0111000100010000011100010001000000010000000000000001000000000000000100000000000000010000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiaa	16	Y	3	7	iiiiiaa	8	01110001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	0.65625	27
28	28	8	0111000101110001000100000001000000010000000100000000000000000000000100000001000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiaa	16	Y	4	7	iiiiiaa	8	01110001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	0.65625	27
29	29	8	0111011100010001000100010000000000010001000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiaa	16	Y	5	7	iiiiiaa	8	01110001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	0.65625	27
30	30	8	0111001100110001001100010001000000110001000100000001000000000000001100010001000000010000000000000001000000000000000000000000000000110001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	iiiiiiaa	30	Y	6	8	iiiiiiaa	30	0111001100110001001100010001000000110001000100000001000000000000001100010001000000010000000000000001000000000000000000000000000000110001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	1.09375	63
31	31	8	0111010101010001010100010001000001010001000100000001000000000000010100010001000000010000000000000001000000000000000000000000000001010001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	iiiiiiaa	30	Y	7	8	iiiiiiaa	30	0111010101010001010100010001000001010001000100000001000000000000010100010001000000010000000000000001000000000000000000000000000001010001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	1.09375	63
32	32	8	0000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiaii	2	Y	0	7	iiiiaii	1	00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
33	33	8	0000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiaii	2	Y	1	7	iiiiaii	1	00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
34	34	8	0000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiaii	2	Y	2	7	iiiiaii	1	00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
35	35	8	0000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiaii	2	Y	3	7	iiiiaii	1	00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
36	36	8	0000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiaii	2	Y	4	7	iiiiaii	1	00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
37	37	8	0000111000001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiaii	8	Y	5	8	iiiiiaii	8	0000111000001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.390625	28
38	38	8	0000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiaii	2	Y	6	7	iiiiiai	1	00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
39	39	8	0000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiaii	2	Y	7	7	iiiiiai	1	00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.109375	7
40	40	8	0100110100000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000001001101000001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000	iiiiiaia	16	Y	0	7	iiiiaia	8	01001101000001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000	0.65625	27
41	41	8	0100110100000100000001000000000000000100000000000000000000000000010011010000010000000100000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000	iiiiiaia	16	Y	1	7	iiiiaia	8	01001101000001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000	0.65625	27
42	42	8	0100110100000100000001000000000001001101000001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiaia	16	Y	2	7	iiiiaia	8	01001101000001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000	0.65625	27
43	43	8	0100110100000100010011010000010000000100000000000000010000000000000001000000000000000100000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiaia	16	Y	3	7	iiiiaia	8	01001101000001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000	0.65625	27
44	44	8	0100110101001101000001000000010000000100000001000000000000000000000001000000010000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiaia	16	Y	4	7	iiiiaia	8	01001101000001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000	0.65625	27
45	45	8	0100111100001101000011010000010000001101000001000000010000000000000011010000010000000100000000000000010000000000000000000000000000001101000001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000	iiiiiaia	30	Y	5	8	iiiiiaia	30	0100111100001101000011010000010000001101000001000000010000000000000011010000010000000100000000000000010000000000000000000000000000001101000001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000	1.09375	63
46	46	8	0101111100000101000001010000000000000101000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiaia	16	Y	6	7	iiiiiaa	8	01110001000100000001000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000	0.65625	27
