	Unnamed: 0	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF	avg_sen	complexity
30	30	7	00001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiaii	2	Y	2	6	iiiaii	1	0000100000000000000000000000000000000000000000000000000000000000	0.1875	6
31	31	7	00001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiaii	2	Y	3	6	iiiaii	1	0000100000000000000000000000000000000000000000000000000000000000	0.1875	6
32	32	7	00001110000010000000100000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000	iiiiaii	7	Y	4	7	iiiiaii	7	00001110000010000000100000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000	0.578125	21
33	33	7	00001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiaii	2	Y	5	6	iiiiai	1	0010000000000000000000000000000000000000000000000000000000000000	0.1875	6
34	34	7	00001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiaii	2	Y	6	6	iiiiai	1	0010000000000000000000000000000000000000000000000000000000000000	0.1875	6
35	35	7	01001101000001000000010000000000000001000000000000000000000000000100110100000100000001000000000000000100000000000000000000000000	iiiiaia	14	Y	0	6	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000	0.9375	20
36	36	7	01001101000001000000010000000000010011010000010000000100000000000000010000000000000000000000000000000100000000000000000000000000	iiiiaia	14	Y	1	6	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000	0.9375	20
37	37	7	01001101000001000100110100000100000001000000000000000100000000000000010000000000000001000000000000000000000000000000000000000000	iiiiaia	14	Y	2	6	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000	0.9375	20
38	38	7	01001101010011010000010000000100000001000000010000000000000000000000010000000100000000000000000000000000000000000000000000000000	iiiiaia	14	Y	3	6	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000	0.9375	20
39	39	7	01001111000011010000110100000100000011010000010000000100000000000000110100000100000001000000000000000100000000000000000000000000	iiiiaia	23	Y	4	7	iiiiaia	23	01001111000011010000110100000100000011010000010000000100000000000000110100000100000001000000000000000100000000000000000000000000	1.359375	41
40	40	7	01011111000001010000010100000000000001010000000000000000000000000000010100000000000000000000000000000000000000000000000000000000	iiiiaia	14	Y	5	6	iiiiaa	7	0111000100010000000100000000000000010000000000000000000000000000	0.9375	20
41	41	7	01011101010001010100010100000100010001010000010000000100000000000100010100000100000001000000000000000100000000000000000000000000	iiiiaia	23	Y	6	7	iiiiaia	23	01011101010001010100010100000100010001010000010000000100000000000100010100000100000001000000000000000100000000000000000000000000	1.359375	41
42	42	7	00101011000000100000001000000000000000100000000000000000000000000010101100000010000000100000000000000010000000000000000000000000	iiiiaai	14	Y	0	6	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000	0.9375	20
43	43	7	00101011000000100000001000000000001010110000001000000010000000000000001000000000000000000000000000000010000000000000000000000000	iiiiaai	14	Y	1	6	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000	0.9375	20
44	44	7	00101011000000100010101100000010000000100000000000000010000000000000001000000000000000100000000000000000000000000000000000000000	iiiiaai	14	Y	2	6	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000	0.9375	20
45	45	7	00101011001010110000001000000010000000100000001000000000000000000000001000000010000000000000000000000000000000000000000000000000	iiiiaai	14	Y	3	6	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000	0.9375	20
46	46	7	00101111000010110000101100000010000010110000001000000010000000000000101100000010000000100000000000000010000000000000000000000000	iiiiaai	23	Y	4	7	iiiiaai	23	00101111000010110000101100000010000010110000001000000010000000000000101100000010000000100000000000000010000000000000000000000000	1.359375	41
47	47	7	00111011001000110010001100000010001000110000001000000010000000000010001100000010000000100000000000000010000000000000000000000000	iiiiaai	23	Y	5	7	iiiiaai	23	00111011001000110010001100000010001000110000001000000010000000000010001100000010000000100000000000000010000000000000000000000000	1.359375	41
48	48	7	00111111000000110000001100000000000000110000000000000000000000000000001100000000000000000000000000000000000000000000000000000000	iiiiaai	14	Y	6	6	iiiiaa	7	0111000100010000000100000000000000010000000000000000000000000000	0.9375	20
49	49	7	01111111000101110001011100000001000101110000000100000001000000000111111100010111000101110000000100010111000000010000000100000000	iiiiaaa	44	Y	0	6	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000	1.875	34
50	50	7	01111111000101110001011100000001011111110001011100010111000000010001011100000001000000010000000000010111000000010000000100000000	iiiiaaa	44	Y	1	6	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000	1.875	34
51	51	7	01111111000101110111111100010111000101110000000100010111000000010001011100000001000101110000000100000001000000000000000100000000	iiiiaaa	44	Y	2	6	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000	1.875	34
52	52	7	01111111011111110001011100010111000101110001011100000001000000010001011100010111000000010000000100000001000000010000000000000000	iiiiaaa	44	Y	3	6	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000	1.875	34
53	53	7	01111111000111110001111100000111000111110000011100000111000000010001111100000111000001110000000100000111000000010000000100000000	iiiiaaa	49	Y	4	7	iiiiaaa	49	01111111000111110001111100000111000111110000011100000111000000010001111100000111000001110000000100000111000000010000000100000000	1.953125	35
54	54	7	01111111001101110011011100010011001101110001001100010011000000010011011100010011000100110000000100010011000000010000000100000000	iiiiaaa	49	Y	5	7	iiiiaaa	49	01111111001101110011011100010011001101110001001100010011000000010011011100010011000100110000000100010011000000010000000100000000	1.953125	35
55	55	7	01111111010101110101011100010101010101110001010100010101000000010101011100010101000101010000000100010101000000010000000100000000	iiiiaaa	49	Y	6	7	iiiiaaa	49	01111111010101110101011100010101010101110001010100010101000000010101011100010101000101010000000100010101000000010000000100000000	1.953125	35
