from	to	sign
v_Yap1	v_Cat1_2	a
v_HapX	v_Cat1_2	i
v_HapX	v_CccA	i
v_SreA	v_EstB	i
v_SidA	v_FCminusFe	a
v_FCminusFe	v_FCplusFe	a
v_LIP	v_FCplusFe	a
v_hapX	v_HapX	a
v_LIP	v_HapX	i
v_VAC	v_ICP	a
v_FCplusFe	v_ICP	a
v_HapX	v_ICP	i
v_EstB	v_LIP	a
v_MirB	v_LIP	a
v_RIA	v_LIP	a
v_TAFC	v_LIP	a
v__Iron	v_LIP	a
v_SreA	v_MirB	i
v_HapX	v_MirB	a
v_SreA	v_RIA	i
v_Cat1_2	v_ROS	i
v_LIP	v_ROS	a
v_ROS	v_ROS	a
v_SOD2_3	v_ROS	i
v_ThP	v_ROS	i
v_Superoxide	v_ROS	a
v_Yap1	v_SOD2_3	a
v_SreA	v_SidA	i
v_HapX	v_SidA	a
v_sreA	v_SreA	a
v_LIP	v_SreA	a
v_SidA	v_TAFC	a
v_Yap1	v_ThP	a
v_CccA	v_VAC	a
v_LIP	v_VAC	a
v_ROS	v_Yap1	a
v_SreA	v_hapX	i
v_HapX	v_sreA	i
v_Superoxide	v_Superoxide	a
v__Iron	v__Iron	a
