"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
0	0	1	2	1312
0	0	2	2	426
0	0	3	2	408
0	0	4	2	542
0	0	5	2	426
0	0	6	2	408
0	0	7	2	542
0	0	8	2	32
1	0	1	1	1405
1	0	2	1	1405
1	0	3	1	141
1	0	4	1	93
1	0	5	1	141
1	0	6	1	93
1	0	7	1	5
1	0	8	1	34
1	0	9	1	34
1	0	10	1	5
1	0	11	2	4
1	0	12	2	4
1	0	13	2	9
1	0	14	2	9
1	0	15	4	357
1	0	16	4	357
2	0	1	1	100
2	0	2	1	100
2	0	3	1	8
2	0	4	1	8
2	0	5	2	56
2	0	6	2	1528
2	0	7	2	82
2	0	8	2	56
2	0	9	2	1528
2	0	10	2	76
2	0	11	2	36
2	0	12	2	82
2	0	13	2	76
2	0	14	2	50
2	0	15	2	74
2	0	16	2	22
2	0	17	2	8
2	0	18	2	8
2	0	19	2	50
2	0	20	2	74
2	0	21	2	36
2	0	22	2	22
2	0	23	2	8
2	0	24	2	8
3	0	1	1	58
3	0	2	1	87
3	0	3	1	46
3	0	4	1	87
3	0	5	1	34
3	0	6	1	58
3	0	7	1	5
3	0	8	1	14
3	0	9	1	46
3	0	10	1	14
3	0	11	1	34
3	0	12	1	5
3	0	13	2	2360
3	0	14	2	624
3	0	15	2	624
4	0	1	8	275
4	0	2	8	275
4	0	3	18	1773
4	0	4	18	1773
5	0	1	1	1692
5	0	2	1	160
5	0	3	1	1692
5	0	4	1	164
5	0	5	1	164
5	0	6	1	160
5	0	7	1	32
5	0	8	1	32
6	0	1	1	420
6	0	2	1	420
6	0	3	1	24
6	0	4	1	24
6	0	5	2	176
6	0	6	2	120
6	0	7	2	176
6	0	8	2	120
6	0	9	3	1308
6	0	10	3	1308
7	0	1	1	832
7	0	2	1	710
7	0	3	1	832
7	0	4	1	710
7	0	5	1	16
7	0	6	1	18
7	0	7	1	18
7	0	8	1	16
7	0	9	4	472
7	0	10	4	472
8	0	1	2	548
8	0	2	2	548
8	0	3	10	1500
8	0	4	10	1500
9	0	1	1	2048
9	0	2	1	2048
10	0	1	2	2026
10	0	2	2	2026
10	0	3	2	22
10	0	4	2	22
11	0	1	1	1625
11	0	2	1	328
11	0	3	1	328
11	0	4	1	1625
11	0	5	1	55
11	0	6	1	40
11	0	7	1	55
11	0	8	1	40
12	0	1	1	1050
12	0	2	1	971
12	0	3	1	971
12	0	4	1	1050
12	0	5	1	27
12	0	6	1	27
13	0	1	1	824
13	0	2	1	109
13	0	3	1	183
13	0	4	1	824
13	0	5	1	31
13	0	6	1	17
13	0	7	1	49
13	0	8	1	23
13	0	9	1	65
13	0	10	1	44
13	0	11	1	13
13	0	12	1	11
13	0	13	1	81
13	0	14	1	73
13	0	15	1	171
13	0	16	1	4
13	0	17	1	81
13	0	18	1	106
13	0	19	1	49
13	0	20	1	9
13	0	21	1	43
13	0	22	1	49
13	0	23	1	44
13	0	24	1	73
13	0	25	1	2
13	0	26	1	8
13	0	27	1	37
13	0	28	1	109
13	0	29	1	17
13	0	30	1	106
13	0	31	1	16
13	0	32	1	21
13	0	33	1	49
13	0	34	1	21
13	0	35	1	12
13	0	36	1	22
13	0	37	1	8
13	0	38	1	31
13	0	39	1	2
13	0	40	1	183
13	0	41	1	4
13	0	42	1	6
13	0	43	1	13
13	0	44	1	2
13	0	45	1	65
13	0	46	1	43
13	0	47	1	37
13	0	48	1	1
13	0	49	1	9
13	0	50	1	12
13	0	51	1	2
13	0	52	1	11
13	0	53	1	7
13	0	54	1	1
13	0	55	1	22
13	0	56	1	7
13	0	57	1	171
13	0	58	1	6
13	0	59	1	1
13	0	60	1	2
13	0	61	1	2
13	0	62	1	16
13	0	63	1	4
13	0	64	1	2
13	0	65	1	1
13	0	66	1	23
13	0	67	1	2
13	0	68	1	4
14	0	1	1	184
14	0	2	1	472
14	0	3	1	38
14	0	4	1	390
14	0	5	1	90
14	0	6	1	222
14	0	7	1	472
14	0	8	1	424
14	0	9	1	88
14	0	10	1	70
14	0	11	1	390
14	0	12	1	424
14	0	13	1	222
14	0	14	1	70
14	0	15	1	88
14	0	16	1	14
14	0	17	1	90
14	0	18	1	34
14	0	19	1	184
14	0	20	1	18
14	0	21	1	34
14	0	22	1	2
14	0	23	1	2
14	0	24	1	14
14	0	25	1	38
14	0	26	1	18
14	0	27	1	2
14	0	28	1	2
15	0	1	1	512
15	0	2	1	54
15	0	3	1	42
15	0	4	1	320
15	0	5	1	113
15	0	6	1	58
15	0	7	1	147
15	0	8	1	224
15	0	9	1	68
15	0	10	1	12
15	0	11	1	96
15	0	12	1	512
15	0	13	1	320
15	0	14	1	16
15	0	15	1	6
15	0	16	1	20
15	0	17	1	42
15	0	18	1	8
15	0	19	1	4
15	0	20	1	96
15	0	21	1	8
15	0	22	1	14
15	0	23	1	32
15	0	24	1	38
15	0	25	1	48
15	0	26	1	12
15	0	27	1	42
15	0	28	1	16
15	0	29	1	28
15	0	30	1	68
15	0	31	1	8
15	0	32	1	2
15	0	33	1	2
15	0	34	1	2
