"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
91	0	3	1	8
91	0	4	1	25
91	0	5	2	2959
91	0	6	3	77
92	0	1	1	2520
92	0	2	2	358
92	0	3	2	666
92	0	4	2	370
92	0	5	2	182
93	0	1	3	4096
94	0	1	2	3944
94	0	2	2	138
94	0	3	2	14
95	0	1	1	1500
95	0	2	1	138
95	0	3	1	8
95	0	4	2	446
95	0	5	4	2004
96	0	1	3	1024
96	0	2	6	3072
97	0	1	1	2114
97	0	2	2	1024
97	0	3	3	958
98	0	1	1	2376
98	0	2	2	192
98	0	3	2	192
98	0	4	4	366
98	0	5	5	970
99	0	1	2	320
99	0	2	2	2830
99	0	3	4	680
99	0	4	4	266
100	0	1	2	1224
100	0	2	2	64
100	0	3	2	1888
100	0	4	2	920
101	0	1	1	3980
101	0	2	2	116
102	0	1	1	324
102	0	2	4	2748
102	0	3	4	1024
103	0	1	1	1105
103	0	2	1	636
103	0	3	1	128
103	0	4	2	947
103	0	5	2	540
103	0	6	2	740
104	0	1	2	2684
104	0	2	2	634
104	0	3	2	778
105	0	1	1	24
105	0	2	6	2328
105	0	3	6	1012
105	0	4	6	732
106	0	1	1	12
106	0	2	2	1928
106	0	3	2	1000
106	0	4	4	632
106	0	5	8	524
107	0	1	1	1296
107	0	2	1	62
107	0	3	1	256
107	0	4	2	1264
107	0	5	2	508
107	0	6	2	710
108	0	1	2	4064
108	0	2	2	32
109	0	1	1	1024
109	0	2	8	1420
109	0	3	12	1652
110	0	1	2	4096
111	0	1	1	738
111	0	2	2	3358
112	0	1	1	700
112	0	2	1	448
112	0	3	1	104
112	0	4	1	268
112	0	5	1	96
112	0	6	3	1184
112	0	7	3	636
112	0	8	3	186
112	0	9	3	474
113	0	1	1	4096
114	0	1	2	4096
115	0	1	2	3040
115	0	2	4	1056
116	0	1	1	64
116	0	2	2	24
116	0	3	3	1943
116	0	4	3	424
116	0	5	5	1641
117	0	1	2	4096
118	0	1	2	1761
118	0	2	4	437
118	0	3	5	1898
119	0	1	1	1408
119	0	2	4	2688
120	0	1	1	4096
121	0	1	2	2412
121	0	2	2	1372
121	0	3	2	312
122	0	1	2	4096
123	0	1	2	962
123	0	2	8	3134
124	0	1	4	428
124	0	2	10	2496
124	0	3	10	1172
125	0	1	9	3300
125	0	2	9	796
126	0	1	2	136
126	0	2	5	832
126	0	3	9	3128
127	0	1	2	4096
128	0	1	4	3620
128	0	2	4	476
129	0	1	1	4096
130	0	1	1	858
130	0	2	1	102
130	0	3	1	858
130	0	4	1	102
130	0	5	1	64
130	0	6	1	64
130	0	7	1	888
130	0	8	1	104
130	0	9	1	888
130	0	10	1	104
130	0	11	1	32
130	0	12	1	32
131	0	1	1	42
131	0	2	2	1124
131	0	3	2	644
131	0	4	2	1558
131	0	5	2	175
131	0	6	2	128
131	0	7	2	41
131	0	8	2	384
132	0	1	2	1472
132	0	2	7	2624
133	0	1	2	4096
134	0	1	5	4096
135	0	1	1	928
135	0	2	1	816
135	0	3	1	168
135	0	4	1	192
135	0	5	1	420
135	0	6	1	200
135	0	7	1	40
135	0	8	1	120
135	0	9	1	88
135	0	10	1	46
135	0	11	1	46
135	0	12	1	102
135	0	13	1	14
135	0	14	1	120
135	0	15	1	64
135	0	16	1	16
135	0	17	1	64
135	0	18	1	16
135	0	19	1	32
135	0	20	1	16
135	0	21	1	32
135	0	22	1	16
135	0	23	1	48
135	0	24	1	48
135	0	25	1	16
135	0	26	1	16
135	0	27	1	40
135	0	28	1	12
135	0	29	1	24
135	0	30	1	32
135	0	31	1	68
135	0	32	1	64
135	0	33	1	32
135	0	34	1	32
135	0	35	1	32
135	0	36	1	32
135	0	37	1	32
135	0	38	1	12
136	0	1	1	12
136	0	2	1	78
136	0	3	1	700
136	0	4	1	2964
136	0	5	1	18
136	0	6	1	12
136	0	7	1	7
136	0	8	1	20
136	0	9	2	38
136	0	10	2	60
136	0	11	2	35
136	0	12	2	152
137	0	1	1	3680
137	0	2	2	416
138	0	1	1	4
138	0	2	4	2900
138	0	3	6	1192
139	0	1	2	4096
140	0	1	1	584
140	0	2	1	160
140	0	3	2	2496
140	0	4	2	856
