"network_number"	"model_number"	"g_density"	"avg_transient_length"
0	0	0.890869140625	5.92682926829268
1	0	0.87451171875	6.4321608040201
2	0	0.9365234375	7.20359749739312
3	0	0.88525390625	3.85521235521236
4	0	0.84228515625	6.3631884057971
5	0	0.88720703125	5.40396257567419
6	0	0.958740234375	4.65393430099312
7	0	0.95654296875	5.13782542113323
8	0	0.93603515625	5.78273343766302
9	0	0.970458984375	3.01937106918239
10	0	0.93310546875	4.82417582417582
11	0	0.818359375	7.00387828162291
12	0	0.856689453125	6.88486748361357
13	0	0.930419921875	4.73209131461559
14	0	0.952880859375	3.24212144504228
15	0	0.887939453125	5.03766840802859
16	0	0.937255859375	4.50117218025528
17	0	0.8544921875	6.21885714285714
18	0	0.953125	4.80968237704918
19	0	0.883056640625	3.09565938623168
20	0	0.950927734375	4.22182284980745
21	0	0.83935546875	6.17917393833624
22	0	0.96875	4.25604838709677
23	0	0.95556640625	3.88400613183444
24	0	0.941162109375	2.55278858625162
25	0	0.916015625	5.63033049040512
26	0	0.916748046875	5.71318242343542
27	0	0.919921875	5.3604033970276
28	0	0.8798828125	2.74389567147614
29	0	0.914306640625	7.42883845126836
30	0	0.917724609375	3.86805001330141
31	0	0.9189453125	3.7345908607864
32	0	0.9228515625	6.22566137566138
33	0	0.918212890625	7.22121776123371
34	0	0.907470703125	4.09039548022599
35	0	0.913818359375	4.45872294950574
36	0	0.930908203125	4.21924993443483
37	0	0.94970703125	3.64755784061697
38	0	0.958984375	4.60921588594705
39	0	0.95068359375	3.18900873138161
40	0	0.896484375	5.3322440087146
41	0	0.94189453125	3.45438050803525
42	0	0.92529296875	3.59973614775726
43	0	0.93701171875	4.15033871808233
44	0	0.948974609375	3.4522768201698
45	0	0.8935546875	4.37677595628415
46	0	0.93603515625	3.82185706833594
47	0	0.93408203125	3.08677469942499
48	0	0.8212890625	9.77853745541023
49	0	0.922119140625	6.14667725708234
50	0	0.951171875	5.73536960985626
51	0	0.9453125	3.56069214876033
52	0	0.955810546875	3.20127713920817
53	0	0.9501953125	5.66289825282631
54	0	0.932861328125	3.80476315100759
55	0	0.95849609375	4.8064187468161
56	0	0.9306640625	4.08210912906611
57	0	0.967529296875	3.2997728993187
58	0	0.95849609375	3.16377992868059
59	0	0.882080078125	7.1253805701633
60	0	0.90673828125	4.28567582121702
61	0	0.9248046875	3.88859556494192
62	0	0.906982421875	3.97900403768506
63	0	0.89990234375	5.07813347802496
64	0	0.9443359375	3.04498448810755
65	0	0.910400390625	2.73665862161437
66	0	0.95166015625	4.88840430990251
67	0	0.91650390625	6.46963239211508
68	0	0.91357421875	3.99679315873864
69	0	0.95556640625	6.51992846193153
70	0	0.9033203125	5.78351351351351
71	0	0.884765625	3.38686534216336
72	0	0.925537109375	3.85861250329728
73	0	0.9443359375	4.86142709410548
74	0	0.92626953125	5.77438060094887
75	0	0.855224609375	4.42677704824436
76	0	0.92431640625	3.71130480718436
77	0	0.94970703125	6.48123393316195
78	0	0.9169921875	8.10915867944622
79	0	0.89892578125	6.72650733297121
80	0	0.90087890625	3.23279132791328
81	0	0.889892578125	6.36570644718793
82	0	0.87646484375	4.10557103064067
83	0	0.943359375	2.62810559006211
84	0	0.91845703125	3.78149920255183
85	0	0.939697265625	4.42114835022084
86	0	0.822265625	4.06828978622328
87	0	0.892822265625	3.77085042384468
88	0	0.91943359375	10.9604354753054
89	0	0.925537109375	3.67554734898444
90	0	0.90869140625	5.20445996775927
91	0	0.92041015625	2.81485411140584
92	0	0.900146484375	4.09519934906428
93	0	0.89892578125	5.30445410103205
94	0	0.909912109375	4.54977193453179
95	0	0.956787109375	4.31002806838479
96	0	0.880615234375	4.45993900748544
97	0	0.90869140625	5.91483073616335
98	0	0.938720703125	3.50975292587776
99	0	0.8681640625	4.91338582677165
100	0	0.88916015625	5.02443712246019
101	0	0.8984375	3.06929347826087
102	0	0.87060546875	7.10291643297813
103	0	0.8994140625	5.75027144408252
104	0	0.933349609375	4.89013863458017
105	0	0.94189453125	3.18195956454121
106	0	0.9423828125	2.75958549222798
107	0	0.95263671875	5.17119425935418
108	0	0.885498046875	5.43920595533499
109	0	0.8974609375	5.72007616974973
110	0	0.836181640625	4.52905109489051
111	0	0.917236328125	3.1149853606601
112	0	0.924560546875	5.4341167150779
113	0	0.896728515625	4.98148652327797
114	0	0.95556640625	3.01660705160961
115	0	0.982421875	4.37649105367793
116	0	0.90234375	5.00081168831169
117	0	0.85595703125	5.53679406731318
118	0	0.95703125	3.75484693877551
119	0	0.951904296875	4.34342139010003
120	0	0.90380859375	5.4462452728255
121	0	0.9208984375	4.11930010604454
122	0	0.92919921875	4.95822385706779
123	0	0.9140625	7.85309829059829
124	0	0.9423828125	4.09274611398964
125	0	0.86328125	4.83569004524887
126	0	0.912109375	2.96011777301927
127	0	0.89599609375	4.7425068119891
128	0	0.92724609375	6.38362295945234
129	0	0.9189453125	5.75531349628055
130	0	0.86572265625	2.72842639593909
131	0	0.89404296875	5.87520480611688
132	0	0.95556640625	3.32754215636178
133	0	0.869873046875	11.7903452147067
134	0	0.84423828125	4.0454019664546
135	0	0.876708984375	6.28460038986355
136	0	0.961181640625	3.88925577851156
137	0	0.906005859375	3.46941525195365
138	0	0.92138671875	4.85108638049815
139	0	0.79296875	4.69889162561576
140	0	0.923828125	5.14799154334038
141	0	0.874267578125	3.77939123149958
142	0	0.89501953125	4.61211129296236
143	0	0.922607421875	4.21672400105848
144	0	0.930908203125	3.59008654602675
145	0	0.93701171875	3.64147993746743
146	0	0.8896484375	3.76125137211855
147	0	0.9345703125	4.54885057471264
148	0	0.9658203125	2.34883720930233
149	0	0.939697265625	9.5323460639127
150	0	0.842529296875	9.76441611127209
151	0	0.912353515625	3.82017661225582
152	0	0.96826171875	3.26626323751891
153	0	0.9072265625	4.39020452099031
154	0	0.93115234375	6.66780283167278
155	0	0.94775390625	3.4005667181865
156	0	0.944091796875	6.89681923972071
157	0	0.91650390625	3.23228556206713
158	0	0.90478515625	5.24230976794387
159	0	0.932373046875	4.84996072270228
160	0	0.907470703125	3.7772397094431
161	0	0.931884765625	8.84202253078334
162	0	0.94482421875	3.86149870801034
163	0	0.8935546875	8.16830601092896
164	0	0.95458984375	3.46112531969309
165	0	0.953857421875	4.14896339902739
166	0	0.946533203125	3.76915140572608
167	0	0.967041015625	2.56021206765968
168	0	0.933349609375	4.2482343709129
169	0	0.89892578125	4.45953286257469
170	0	0.908203125	8.63870967741935
171	0	0.946533203125	3.7379417075058
172	0	0.921875	4.02065677966102
173	0	0.951171875	3.88475359342916
174	0	0.972412109375	3.33843836304293
175	0	0.915771484375	4.14822713942949
176	0	0.8798828125	3.47142064372919
177	0	0.885986328125	4.33342518600165
178	0	0.929443359375	3.51116364591542
179	0	0.86474609375	4.66544325239977
180	0	0.8681640625	6.85404949381327
181	0	0.94970703125	4.5840616966581
182	0	0.89697265625	4.01633097441481
183	0	0.9423828125	6.00621761658031
184	0	0.87109375	9.26177130044843
185	0	0.916748046875	3.83648468708389
186	0	0.927490234375	4.53672018952356
187	0	0.838623046875	4.72052401746725
188	0	0.9521484375	3.04307692307692
189	0	0.937744140625	2.87086696172872
190	0	0.89111328125	4.37835616438356
191	0	0.9384765625	3.38839750260146
192	0	0.874267578125	3.40854509913432
193	0	0.913818359375	5.64306705850922
194	0	0.907958984375	6.28260285022856
195	0	0.8740234375	4.56480446927374
196	0	0.92333984375	4.22871496562665
197	0	0.918701171875	6.00584639914961
198	0	0.89794921875	5.42930940728657
199	0	0.92236328125	3.99470619375331
200	0	0.84375	3.84259259259259
201	0	0.9296875	5.77731092436975
202	0	0.93408203125	4.05959226346053
203	0	0.86474609375	5.43083003952569
204	0	0.892822265625	5.28438610883238
205	0	0.95361328125	5.7073732718894
206	0	0.853515625	3.39673913043478
207	0	0.900390625	4.24159436008677
208	0	0.884765625	3.02897350993377
209	0	0.92041015625	5.51405835543767
210	0	0.9638671875	4.00253292806484
211	0	0.927001953125	5.04398209112457
212	0	0.834716796875	9.36209417958467
213	0	0.9287109375	8.73843322818086
214	0	0.8310546875	7.13542890716804
215	0	0.856689453125	3.24080934739242
216	0	0.875732421875	4.20211876219682
217	0	0.87890625	3.94
218	0	0.92578125	6.64082278481013
219	0	0.907470703125	3.21603443637342
220	0	0.93115234375	3.58966963817514
221	0	0.87060546875	11.3704430734717
222	0	0.941650390625	4.09048483277158
223	0	0.921875	3.22748940677966
224	0	0.920654296875	4.49588968443384
225	0	0.91015625	5.2162017167382
226	0	0.8837890625	5.34116022099448
227	0	0.893310546875	4.10603990161246
228	0	0.89892578125	4.34003259098316
229	0	0.9033203125	3.43297297297297
230	0	0.894775390625	7.57326057298772
231	0	0.906005859375	5.49932632713554
232	0	0.8955078125	6.96673936750273
233	0	0.940185546875	3.22851207478577
234	0	0.949951171875	5.43819069647905
235	0	0.8984375	7.18260869565217
236	0	0.92919921875	3.67708880714661
237	0	0.9228515625	3.22010582010582
238	0	0.925537109375	6.76259562120812
239	0	0.93408203125	3.28881338212232
240	0	0.946044921875	4.21135483870968
241	0	0.9638671875	5.77026342451874
242	0	0.906005859375	6.38830503907303
243	0	0.9658203125	5.97143579373104
244	0	0.88525390625	5.00110314396029
245	0	0.88427734375	7.09110988404197
246	0	0.898193359375	5.39684696928513
247	0	0.94091796875	3.36637259989621
248	0	0.969482421875	3.03852933769831
249	0	0.901123046875	6.04524519100515
250	0	0.830322265625	10.5915907086151
251	0	0.928466796875	5.31580331317381
252	0	0.8857421875	8.13202866593164
253	0	0.928466796875	3.16224033657639
254	0	0.93994140625	4.60415584415584
255	0	0.9130859375	4.96042780748663
256	0	0.9140625	3.45112179487179
257	0	0.971435546875	3.5182206584569
258	0	0.912109375	6.43120985010707
259	0	0.938720703125	2.94928478543563
260	0	0.9228515625	5.41322751322751
261	0	0.951416015625	3.36566589684373
262	0	0.927001953125	3.30576771135107
263	0	0.91552734375	8.08773333333333
264	0	0.931884765625	5.77443018077024
265	0	0.90869140625	5.68833960236432
266	0	0.9287109375	3.29022082018927
267	0	0.927001953125	3.52620489860416
268	0	0.87451171875	4.36208821887214
269	0	0.90673828125	3.49138395261174
270	0	0.89404296875	7.91534680502458
271	0	0.850830078125	6.91391678622669
272	0	0.9580078125	2.99133537206932
273	0	0.935791015625	2.63422906339682
274	0	0.955078125	3.12832310838446
275	0	0.920654296875	6.61150888358526
276	0	0.9345703125	5.60475444096134
277	0	0.940185546875	4.98260192157881
278	0	0.950927734375	4.89576379974326
279	0	0.95263671875	3.16017426960533
280	0	0.941650390625	4.45138708841068
281	0	0.9755859375	3.48598598598599
282	0	0.894775390625	4.60354706684857
283	0	0.941162109375	4.29805447470817
284	0	0.924072265625	2.70409511228534
285	0	0.92431640625	4.0364500792393
286	0	0.826904296875	12.0758783584293
287	0	0.921142578125	4.2144182348264
288	0	0.904541015625	5.0191632928475
289	0	0.913818359375	3.40475554368154
290	0	0.91015625	3.98712446351931
291	0	0.9208984375	4.75742311770944
292	0	0.87158203125	5.74733893557423
293	0	0.926513671875	2.90698287220026
294	0	0.891845703125	4.31234601697235
295	0	0.92041015625	5.01114058355438
296	0	0.913330078125	8.30981021117348
297	0	0.91943359375	3.72703133297929
298	0	0.955810546875	5.45874840357599
299	0	0.886962890625	3.6952931461602
300	0	0.92431640625	3.58478605388273
301	0	0.91357421875	7.39470871191876
302	0	0.9189453125	4.27125398512221
303	0	0.9482421875	4.53244078269825
304	0	0.9033203125	6.64810810810811
305	0	0.939453125	3.0966735966736
306	0	0.943115234375	4.21460005177323
307	0	0.926025390625	2.71948325863433
308	0	0.81298828125	8.05465465465466
309	0	0.89404296875	4.81758601856909
310	0	0.927734375	3.33684210526316
311	0	0.932861328125	3.95027479717351
312	0	0.8916015625	4.58652792990142
313	0	0.9423828125	4.22875647668394
314	0	0.90283203125	5.57247160627366
315	0	0.909912109375	4.10249530453448
316	0	0.88671875	3.23788546255507
317	0	0.94873046875	5.82732887287699
318	0	0.90966796875	3.71846484165325
319	0	0.94140625	3.05005186721992
320	0	0.840576171875	4.60325297705489
321	0	0.91552734375	6.8848
322	0	0.90283203125	8.05949161709032
323	0	0.93701171875	4.3931735278791
324	0	0.898681640625	4.38413474599294
325	0	0.9072265625	3.58961248654467
326	0	0.8955078125	6.63849509269357
327	0	0.885498046875	5.10697546181417
328	0	0.837890625	3.7712703962704
329	0	0.940673828125	8.6005709836491
330	0	0.9208984375	7.17603393425239
331	0	0.928955078125	3.5718791064389
332	0	0.9267578125	3.32007376185458
333	0	0.90234375	7.18235930735931
334	0	0.93505859375	5.1757180156658
335	0	0.939453125	3.00077962577963
336	0	0.93408203125	5.53659174072138
337	0	0.91455078125	4.89935931660438
338	0	0.900634765625	3.63865546218487
339	0	0.933349609375	3.49019094951609
340	0	0.918212890625	4.20180802977931
341	0	0.858154296875	5.0773826458037
342	0	0.905029296875	5.61370380361478
343	0	0.928466796875	3.5403628714173
344	0	0.8994140625	4.13192182410423
345	0	0.9169921875	3.17438764643238
346	0	0.9599609375	4.6823499491353
347	0	0.872802734375	5.00223776223776
348	0	0.810791015625	8.80397470641373
349	0	0.791015625	7.76141975308642
350	0	0.94091796875	3.69174883238194
351	0	0.893310546875	8.47499316753211
352	0	0.90576171875	3.50053908355795
353	0	0.918212890625	4.20606221749535
354	0	0.91064453125	3.77908847184987
355	0	0.9462890625	8.46155830753354
356	0	0.90234375	6.04247835497836
357	0	0.82958984375	5.50971159505592
358	0	0.95068359375	3.31330251669235
359	0	0.875	5.494140625
360	0	0.863037109375	4.23536067892504
361	0	0.93798828125	4.94690265486726
362	0	0.9345703125	3.6585684430512
363	0	0.9306640625	2.93913955928646
364	0	0.934814453125	5.99947767041003
365	0	0.940185546875	2.98364061282784
366	0	0.85595703125	8.67455790074159
367	0	0.885498046875	5.02839812517232
368	0	0.8955078125	5.47600872410033
369	0	0.9677734375	3.07971745711403
370	0	0.904296875	4.31668466522678
371	0	0.912841796875	6.45386466969778
372	0	0.914794921875	5.18094475580464
373	0	0.9306640625	3.3098111227702
374	0	0.945556640625	2.73302349599793
375	0	0.95361328125	4.04608294930876
376	0	0.90869140625	2.94760881246642
377	0	0.89501953125	3.72422258592471
378	0	0.92236328125	3.37956590788777
379	0	0.9384765625	7.19068678459938
380	0	0.884033203125	4.84341342170671
381	0	0.896484375	6.35893246187364
382	0	0.833984375	4.10011709601874
383	0	0.94580078125	3.86473928755808
384	0	0.925537109375	3.75283566341335
385	0	0.947265625	3.4340206185567
386	0	0.961181640625	3.30378460756922
387	0	0.95947265625	4.85699745547074
388	0	0.88671875	3.64922907488987
389	0	0.951171875	4.1735112936345
390	0	0.9384765625	3.03459937565036
391	0	0.8740234375	10.5231843575419
392	0	0.85595703125	6.27552766685682
393	0	0.853271484375	5.11101573676681
394	0	0.9150390625	5.80282817502668
395	0	0.951416015625	4.41236848858096
396	0	0.88330078125	7.51907131011609
397	0	0.958251953125	3.83490445859873
398	0	0.916748046875	8.37390146471371
399	0	0.952392578125	3.32530120481928
400	0	0.90185546875	3.97996751488901
401	0	0.93212890625	4.84258774227344
402	0	0.90234375	5.26569264069264
403	0	0.92822265625	4.32482903734876
404	0	0.906494140625	4.09130083490439
405	0	0.92138671875	6.32379438261791
406	0	0.93798828125	3.72566371681416
407	0	0.947021484375	3.67414282031451
408	0	0.91455078125	9.37907100907635
409	0	0.968994140625	3.87276392038297
410	0	0.92138671875	8.32087970323265
411	0	0.927001953125	4.22886489333685
412	0	0.8896484375	8.30406147091109
413	0	0.930908203125	4.44322056123787
414	0	0.939453125	5.73596673596674
415	0	0.90966796875	7.31937734836286
416	0	0.841796875	6.65429234338747
417	0	0.869140625	6.58174157303371
418	0	0.909423828125	3.7648322147651
419	0	0.916259765625	10.605382360778
420	0	0.91357421875	4.9444147514698
421	0	0.8583984375	4.47155858930603
422	0	0.909423828125	5.96805369127517
423	0	0.921875	2.91313559322034
424	0	0.9267578125	3.09351949420443
425	0	0.96826171875	5.68734241048916
426	0	0.927734375	4.15368421052632
427	0	0.951171875	3.72535934291581
428	0	0.928466796875	4.46463318432816
429	0	0.89990234375	8.42946283233858
430	0	0.92431640625	6.33861595351294
431	0	0.91943359375	6.04248539564525
432	0	0.925048828125	4.34204275534442
433	0	0.903564453125	4.46663064036747
434	0	0.876708984375	5.10331384015595
435	0	0.958740234375	4.44003055767762
436	0	0.953125	5.07633196721311
437	0	0.959716796875	2.91249046044264
438	0	0.958740234375	3.38782785841609
439	0	0.935791015625	4.05113488129403
440	0	0.8525390625	5.90893470790378
441	0	0.917236328125	4.52941176470588
442	0	0.9462890625	3.58771929824561
443	0	0.96630859375	3.45907023749368
444	0	0.8837890625	5.61602209944751
445	0	0.88525390625	3.34169884169884
446	0	0.853515625	3.49513729977117
447	0	0.90380859375	5.2409508373852
448	0	0.911865234375	4.95823293172691
449	0	0.925537109375	3.00290160907412
450	0	0.958984375	4.4887983706721
451	0	0.9423828125	3.70233160621762
452	0	0.94873046875	4.47606793618116
453	0	0.900634765625	5.1157495256167
454	0	0.917724609375	4.11040170258047
455	0	0.926025390625	5.64539941998418
456	0	0.91455078125	4.94233849439402
457	0	0.916748046875	5.89054593874834
458	0	0.94091796875	3.49584846912299
459	0	0.8916015625	4.37814895947426
460	0	0.936767578125	3.99035704977847
461	0	0.954833984375	4.20659677831757
462	0	0.931640625	5.56420335429769
463	0	0.927978515625	3.93870034201526
464	0	0.90576171875	7.7911051212938
465	0	0.904541015625	4.46666666666667
466	0	0.868896484375	4.79320033717336
467	0	0.90380859375	3.65262020529444
468	0	0.942138671875	3.13604560767038
469	0	0.97314453125	2.39086803813347
470	0	0.93212890625	3.88947092718701
471	0	0.877685546875	6.51321279554937
472	0	0.847900390625	4.41117189749496
473	0	0.886962890625	8.29810074318745
474	0	0.90771484375	4.34131253362023
475	0	0.9521484375	2.49384615384615
476	0	0.9150390625	3.28014941302028
477	0	0.929443359375	2.76595744680851
478	0	0.9169921875	3.94408945686901
479	0	0.932373046875	5.24063891070961
480	0	0.922119140625	5.61053746359545
481	0	0.942626953125	5.56073556073556
482	0	0.950927734375	2.97406931964056
483	0	0.8662109375	6.76550169109357
484	0	0.9560546875	3.44152196118488
485	0	0.95068359375	3.3366718027735
486	0	0.9296875	2.90730042016807
487	0	0.904296875	5.50809935205184
488	0	0.8779296875	10.5609010011123
489	0	0.9423828125	3.52953367875648
490	0	0.95361328125	5.46031746031746
491	0	0.894287109375	4.82691782691783
492	0	0.89404296875	4.46805024576734
493	0	0.9306640625	4.80849947534103
494	0	0.90234375	4.0603354978355
495	0	0.891845703125	5.99124007664933
496	0	0.91943359375	8.60010621348911
497	0	0.916015625	4.77931769722815
498	0	0.9228515625	3.62830687830688
499	0	0.915771484375	3.63103172487337
500	0	0.865234375	4.95005643340858
501	0	0.9462890625	2.93317853457172
502	0	0.9091796875	3.84237379162191
503	0	0.899658203125	3.74301221166893
504	0	0.770263671875	3.77591125198098
505	0	0.921142578125	2.78505168301087
506	0	0.890869140625	4.68292682926829
