network_index	model_no	bio_gold_std_JS_dist	nonNCF_to_NCF_modi_model_gold_std_JS_dist
95	0	0.5787220488521209	0.5692557863006229
95	1	0.5787220488521209	0.5659911151304173
95	2	0.5787220488521209	0.5757517593154763
95	3	0.5787220488521209	0.574155553768906
95	4	0.5787220488521209	0.5780991648621286
95	5	0.5787220488521209	0.574155553768906
95	6	0.5787220488521209	0.5689180327006699
95	7	0.5787220488521209	0.5661398467955235
95	8	0.5787220488521209	0.5806864786318806
95	9	0.5787220488521209	0.5769975406745215
95	10	0.5787220488521209	0.6346227197102345
95	11	0.5787220488521209	0.663759289295034
95	12	0.5787220488521209	0.5692557863006229
95	13	0.5787220488521209	0.5659911151304173
95	14	0.5787220488521209	0.5799903638096521
95	15	0.5787220488521209	0.577292361832457
95	16	0.5787220488521209	0.5780991648621286
95	17	0.5787220488521209	0.574155553768906
95	18	0.5787220488521209	0.5913748554895707
95	19	0.5787220488521209	0.590590740473409
95	20	0.5787220488521209	0.6447702177000835
95	21	0.5787220488521209	0.6706611131878201
95	22	0.5787220488521209	0.5745199032167306
95	23	0.5787220488521209	0.574155553768906
95	24	0.5787220488521209	0.6475912450599206
95	25	0.5787220488521209	0.6629364445089853
95	26	0.5787220488521209	0.6219443018080391
95	27	0.5787220488521209	0.6219443018080391
95	28	0.5787220488521209	0.6224905129073831
95	29	0.5787220488521209	0.6416101172576737
95	30	0.5787220488521209	0.5829283084360043
95	31	0.5787220488521209	0.5799980794047391
95	32	0.5787220488521209	0.5832772125068953
95	33	0.5787220488521209	0.5798481523740496
95	34	0.5787220488521209	0.6322641583400761
95	35	0.5787220488521209	0.6322641583400761
95	36	0.5787220488521209	0.6481950470387847
95	37	0.5787220488521209	0.6692246211627776
95	38	0.5787220488521209	0.6241478869726113
95	39	0.5787220488521209	0.6241478869726113
95	40	0.5787220488521209	0.5962277777524376
95	41	0.5787220488521209	0.5962277777524376
95	42	0.5787220488521209	0.6295889385995562
95	43	0.5787220488521209	0.6295889385995562
95	44	0.5787220488521209	0.590590740473409
95	45	0.5787220488521209	0.590590740473409
95	46	0.5787220488521209	0.6346227197102345
95	47	0.5787220488521209	0.663759289295034
