"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
0	0	1	4	4096
1	0	1	1	20
1	0	2	1	807
1	0	3	1	60
1	0	4	8	385
1	0	5	8	909
1	0	6	8	1915
2	0	1	2	4096
3	0	1	2	1872
3	0	2	8	2224
4	0	1	1	3320
4	0	2	1	354
4	0	3	1	18
4	0	4	3	374
4	0	5	3	30
5	0	1	2	360
5	0	2	2	408
5	0	3	4	1989
5	0	4	4	636
5	0	5	6	703
6	0	1	4	3019
6	0	2	4	309
6	0	3	4	656
6	0	4	4	112
7	0	1	2	3144
7	0	2	2	952
8	0	1	1	3274
8	0	2	4	822
9	0	1	1	6
9	0	2	1	3023
9	0	3	1	267
9	0	4	1	2
9	0	5	1	754
9	0	6	1	4
9	0	7	1	32
9	0	8	1	8
10	0	1	4	4096
11	0	1	4	4096
12	0	1	1	4096
13	0	1	2	4096
14	0	1	4	2450
14	0	2	4	1646
15	0	1	2	742
15	0	2	2	228
15	0	3	4	3126
16	0	1	4	4096
17	0	1	2	4096
18	0	1	2	984
18	0	2	2	48
18	0	3	8	1928
18	0	4	8	1136
19	0	1	2	4096
20	0	1	2	2295
20	0	2	2	1801
21	0	1	2	4096
22	0	1	1	1972
22	0	2	2	88
22	0	3	6	112
22	0	4	10	1924
23	0	1	5	4096
24	0	1	1	4039
24	0	2	1	57
25	0	1	1	3
25	0	2	1	4074
25	0	3	1	3
25	0	4	1	16
26	0	1	1	2496
26	0	2	1	576
26	0	3	1	832
26	0	4	1	192
27	0	1	4	1266
27	0	2	4	1446
27	0	3	4	360
27	0	4	4	120
27	0	5	12	904
28	0	1	4	594
28	0	2	4	3181
28	0	3	4	321
29	0	1	1	6
29	0	2	2	2665
29	0	3	3	282
29	0	4	10	1143
30	0	1	1	12
30	0	2	1	3818
30	0	3	1	20
30	0	4	1	18
30	0	5	2	228
31	0	1	1	3092
31	0	2	3	1004
32	0	1	1	4096
33	0	1	1	4093
33	0	2	1	3
34	0	1	1	2236
34	0	2	1	120
34	0	3	1	24
34	0	4	2	1060
34	0	5	2	548
34	0	6	2	108
35	0	1	2	3328
35	0	2	2	768
36	0	1	2	3597
36	0	2	2	499
37	0	1	1	4096
38	0	1	1	3970
38	0	2	1	126
39	0	1	1	4096
40	0	1	1	1070
40	0	2	1	1285
40	0	3	2	1741
41	0	1	2	56
41	0	2	4	1696
41	0	3	4	1687
41	0	4	4	185
41	0	5	4	472
42	0	1	2	3904
42	0	2	6	192
43	0	1	5	3648
43	0	2	10	448
44	0	1	1	4096
45	0	1	8	4096
46	0	1	2	4096
47	0	1	1	192
47	0	2	3	3904
48	0	1	2	840
48	0	2	2	2478
48	0	3	2	778
49	0	1	1	2911
49	0	2	1	45
49	0	3	1	116
49	0	4	1	985
49	0	5	1	15
49	0	6	1	24
50	0	1	1	3130
50	0	2	1	6
50	0	3	1	64
50	0	4	2	896
51	0	1	6	576
51	0	2	7	3520
52	0	1	1	40
52	0	2	1	14
52	0	3	1	6
52	0	4	2	3076
52	0	5	2	212
52	0	6	2	490
52	0	7	2	242
52	0	8	2	8
52	0	9	2	8
53	0	1	2	4096
54	0	1	1	2
54	0	2	1	2
54	0	3	4	1342
54	0	4	7	2750
55	0	1	2	62
55	0	2	2	289
55	0	3	2	8
55	0	4	2	48
55	0	5	2	42
55	0	6	2	1050
55	0	7	2	72
55	0	8	2	149
55	0	9	2	170
55	0	10	2	144
55	0	11	2	320
55	0	12	2	100
55	0	13	2	265
55	0	14	4	1377
56	0	1	1	3840
56	0	2	1	16
56	0	3	2	240
57	0	1	1	191
57	0	2	3	1802
57	0	3	6	1246
57	0	4	6	857
58	0	1	4	96
58	0	2	4	1963
58	0	3	4	2037
59	0	1	1	89
59	0	2	1	470
59	0	3	1	13
59	0	4	1	43
59	0	5	1	170
59	0	6	1	78
59	0	7	1	2
59	0	8	1	14
59	0	9	1	6
59	0	10	2	77
59	0	11	2	464
59	0	12	2	139
59	0	13	2	39
59	0	14	3	395
59	0	15	3	154
59	0	16	3	274
59	0	17	3	460
59	0	18	3	49
59	0	19	6	734
59	0	20	6	426
60	0	1	2	1921
60	0	2	2	1787
60	0	3	2	388
61	0	1	1	3832
61	0	2	2	32
61	0	3	2	96
61	0	4	4	136
62	0	1	1	80
62	0	2	5	2896
62	0	3	8	1120
63	0	1	1	1370
63	0	2	2	456
63	0	3	2	2270
64	0	1	1	4096
65	0	1	2	4096
66	0	1	1	1152
66	0	2	1	568
66	0	3	1	55
66	0	4	1	13
66	0	5	1	4
66	0	6	1	8
66	0	7	2	2112
66	0	8	3	113
66	0	9	3	56
66	0	10	3	5
66	0	11	3	10
67	0	1	1	4096
68	0	1	1	56
68	0	2	1	12
68	0	3	2	344
68	0	4	2	3612
68	0	5	2	18
68	0	6	2	54
69	0	1	1	1376
69	0	2	1	1452
69	0	3	1	256
69	0	4	4	660
69	0	5	4	352
70	0	1	4	4096
71	0	1	1	640
71	0	2	1	128
71	0	3	4	2944
71	0	4	4	384
72	0	1	1	1926
72	0	2	1	64
72	0	3	2	707
72	0	4	4	1069
72	0	5	4	189
72	0	6	4	141
73	0	1	4	2134
73	0	2	4	1962
74	0	1	1	4096
