"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
0	0	1	3	727
0	0	2	3	727
0	0	3	4	2328
0	0	4	4	98
0	0	5	4	148
0	0	6	4	68
1	0	1	1	40
1	0	2	1	40
1	0	3	5	59
1	0	4	5	59
1	0	5	7	1254
1	0	6	7	1254
1	0	7	8	695
1	0	8	8	695
2	0	1	1	913
2	0	2	1	26
2	0	3	1	641
2	0	4	1	913
2	0	5	1	641
2	0	6	1	63
2	0	7	1	9
2	0	8	1	4
2	0	9	1	63
2	0	10	1	26
2	0	11	1	6
2	0	12	1	4
2	0	13	1	9
2	0	14	1	6
2	0	15	2	14
2	0	16	2	245
2	0	17	2	45
2	0	18	2	245
2	0	19	2	45
2	0	20	2	14
2	0	21	6	82
2	0	22	6	82
3	0	1	1	1951
3	0	2	1	1951
3	0	3	2	98
3	0	4	2	96
4	0	1	4	60
4	0	2	28	4036
5	0	1	1	126
5	0	2	1	58
5	0	3	1	340
5	0	4	1	142
5	0	5	1	20
5	0	6	1	52
5	0	7	1	340
5	0	8	1	4
5	0	9	1	1
5	0	10	1	5
5	0	11	1	2
5	0	12	1	142
5	0	13	1	2
5	0	14	1	52
5	0	15	1	126
5	0	16	1	58
5	0	17	1	2
5	0	18	1	2
5	0	19	1	20
5	0	20	1	5
5	0	21	1	4
5	0	22	1	1
5	0	23	2	1005
5	0	24	2	1005
5	0	25	2	30
5	0	26	2	30
5	0	27	4	261
5	0	28	4	261
6	0	1	2	3330
6	0	2	2	494
6	0	3	2	136
6	0	4	2	136
7	0	1	1	2
7	0	2	1	1
7	0	3	1	2
7	0	4	1	1
7	0	5	2	110
7	0	6	2	44
7	0	7	2	110
7	0	8	2	44
7	0	9	2	5
7	0	10	2	5
7	0	11	4	908
7	0	12	4	908
7	0	13	6	882
7	0	14	6	882
7	0	15	14	192
8	0	1	1	1972
8	0	2	1	1972
8	0	3	1	1
8	0	4	1	1
8	0	5	8	150
9	0	1	1	804
9	0	2	1	934
9	0	3	1	934
9	0	4	1	804
9	0	5	1	192
9	0	6	1	192
9	0	7	14	236
10	0	1	1	1
10	0	2	1	1
10	0	3	2	1275
10	0	4	2	1275
10	0	5	2	774
10	0	6	2	8
10	0	7	2	2
10	0	8	6	724
10	0	9	6	36
11	0	1	1	676
11	0	2	1	676
11	0	3	2	1079
11	0	4	2	1079
11	0	5	16	586
12	0	1	1	820
12	0	2	1	505
12	0	3	1	820
12	0	4	1	505
12	0	5	2	39
12	0	6	2	39
12	0	7	6	1368
13	0	1	2	54
13	0	2	2	7
13	0	3	2	76
13	0	4	2	2
13	0	5	2	7
13	0	6	2	2
13	0	7	4	99
13	0	8	4	68
13	0	9	4	53
13	0	10	4	99
13	0	11	4	53
13	0	12	4	5
13	0	13	4	5
13	0	14	5	757
13	0	15	5	757
13	0	16	6	1026
13	0	17	6	1026
14	0	1	1	2016
14	0	2	1	2016
14	0	3	2	15
14	0	4	2	17
14	0	5	2	17
14	0	6	2	15
15	0	1	1	750
15	0	2	1	424
15	0	3	1	424
15	0	4	1	750
15	0	5	1	242
15	0	6	1	46
15	0	7	1	21
15	0	8	1	46
15	0	9	1	224
15	0	10	1	242
15	0	11	1	46
15	0	12	1	7
15	0	13	1	224
15	0	14	1	46
15	0	15	1	1
15	0	16	1	21
15	0	17	1	1
15	0	18	1	7
15	0	19	6	287
15	0	20	6	287
16	0	1	1	783
16	0	2	1	316
16	0	3	1	316
16	0	4	1	22
16	0	5	1	22
16	0	6	1	783
16	0	7	1	8
16	0	8	1	11
16	0	9	1	2
16	0	10	1	11
16	0	11	1	2
16	0	12	1	8
16	0	13	2	123
16	0	14	2	541
16	0	15	2	168
16	0	16	2	541
16	0	17	2	168
16	0	18	2	123
16	0	19	2	50
16	0	20	2	50
16	0	21	2	24
16	0	22	2	24
17	0	1	1	644
17	0	2	1	5
17	0	3	1	7
17	0	4	1	2
17	0	5	1	1174
17	0	6	1	1174
17	0	7	1	644
17	0	8	1	32
17	0	9	1	28
17	0	10	1	10
17	0	11	1	28
17	0	12	1	14
17	0	13	1	32
17	0	14	1	4
17	0	15	1	4
17	0	16	1	14
17	0	17	1	10
17	0	18	1	1
17	0	19	1	1
17	0	20	1	5
17	0	21	1	7
17	0	22	1	2
17	0	23	2	64
17	0	24	2	63
17	0	25	2	63
17	0	26	2	64
18	0	1	4	2764
18	0	2	4	8
18	0	3	5	662
18	0	4	5	662
19	0	1	1	2047
19	0	2	1	2047
19	0	3	2	2
20	0	1	1	465
20	0	2	1	465
20	0	3	1	50
20	0	4	1	50
20	0	5	3	189
20	0	6	3	334
20	0	7	3	334
20	0	8	3	189
20	0	9	4	962
20	0	10	4	962
20	0	11	4	48
20	0	12	4	48
21	0	1	1	2048
21	0	2	1	2048
22	0	1	2	2048
22	0	2	2	2048
23	0	1	1	13
23	0	2	1	13
23	0	3	2	606
23	0	4	2	606
23	0	5	2	3
23	0	6	2	6
23	0	7	2	4
23	0	8	2	3
23	0	9	9	1421
23	0	10	9	1421
24	0	1	1	454
24	0	2	1	218
24	0	3	1	561
24	0	4	1	292
24	0	5	1	561
24	0	6	1	292
24	0	7	1	290
24	0	8	1	290
24	0	9	1	454
24	0	10	1	218
24	0	11	1	2
24	0	12	1	2
24	0	13	8	462
25	0	1	1	601
25	0	2	1	353
25	0	3	1	1092
25	0	4	1	1092
25	0	5	1	353
25	0	6	1	601
25	0	7	2	4
26	0	1	1	1347
26	0	2	1	1347
26	0	3	3	657
26	0	4	3	657
26	0	5	10	88
27	0	1	4	1774
27	0	2	4	274
27	0	3	4	1774
27	0	4	4	274
28	0	1	2	146
28	0	2	4	1975
28	0	3	4	1975
29	0	1	1	14
29	0	2	1	3
29	0	3	1	3
29	0	4	1	14
29	0	5	2	148
29	0	6	2	76
29	0	7	2	754
29	0	8	2	2966
29	0	9	2	26
29	0	10	2	7
29	0	11	2	25
29	0	12	2	26
29	0	13	2	25
29	0	14	2	2
29	0	15	2	7
30	0	1	1	765
30	0	2	1	765
30	0	3	1	2
30	0	4	1	10
30	0	5	1	4
30	0	6	1	1
30	0	7	1	6
30	0	8	1	10
30	0	9	1	4
30	0	10	1	6
30	0	11	1	1
30	0	12	1	2
30	0	13	6	143
30	0	14	6	948
30	0	15	6	948
30	0	16	6	169
30	0	17	6	169
30	0	18	6	143
31	0	1	2	612
31	0	2	6	3484
32	0	1	1	1
32	0	2	1	1
32	0	3	1	1
32	0	4	1	1
32	0	5	2	3424
32	0	6	2	105
32	0	7	2	74
32	0	8	2	132
32	0	9	2	74
32	0	10	2	132
32	0	11	2	23
32	0	12	2	105
32	0	13	2	23
33	0	1	1	2048
33	0	2	1	2048
34	0	1	1	553
34	0	2	1	176
34	0	3	1	553
34	0	4	1	176
34	0	5	3	1319
34	0	6	3	1319
35	0	1	1	411
35	0	2	1	51
35	0	3	1	657
35	0	4	1	10
35	0	5	1	147
35	0	6	1	285
35	0	7	1	1
35	0	8	1	49
35	0	9	1	131
35	0	10	1	85
35	0	11	1	21
35	0	12	1	139
35	0	13	1	411
35	0	14	1	657
35	0	15	1	19
35	0	16	1	131
35	0	17	1	139
35	0	18	1	147
35	0	19	1	30
35	0	20	1	285
35	0	21	1	51
35	0	22	1	4
35	0	23	1	85
35	0	24	1	30
35	0	25	1	3
35	0	26	1	1
35	0	27	1	4
35	0	28	1	21
35	0	29	1	19
35	0	30	1	49
35	0	31	1	4
35	0	32	1	4
35	0	33	1	10
35	0	34	1	3
35	0	35	1	1
35	0	36	1	1
36	0	1	10	3204
36	0	2	14	892
37	0	1	1	59
37	0	2	1	8
37	0	3	1	59
37	0	4	1	1
37	0	5	1	8
37	0	6	1	1
37	0	7	2	1926
37	0	8	2	1926
37	0	9	2	54
37	0	10	2	54
38	0	1	2	10
38	0	2	4	842
38	0	3	4	842
38	0	4	6	2402
39	0	1	2	100
39	0	2	2	1991
39	0	3	2	1991
39	0	4	3	7
39	0	5	3	7
40	0	1	2	2
40	0	2	3	455
40	0	3	3	455
40	0	4	4	816
40	0	5	4	816
40	0	6	4	62
40	0	7	7	745
40	0	8	7	745
41	0	1	1	137
41	0	2	1	137
41	0	3	1	1
41	0	4	1	1
41	0	5	4	266
41	0	6	4	266
41	0	7	12	200
41	0	8	30	3088
42	0	1	2	3274
42	0	2	2	261
42	0	3	2	261
42	0	4	2	256
42	0	5	2	18
42	0	6	2	18
42	0	7	2	4
42	0	8	2	4
43	0	1	2	238
43	0	2	2	34
43	0	3	2	6
43	0	4	2	4
43	0	5	10	298
43	0	6	10	112
43	0	7	52	3404
44	0	1	1	2
44	0	2	1	2
44	0	3	2	4090
44	0	4	2	2
45	0	1	1	522
45	0	2	1	115
45	0	3	1	4
45	0	4	1	522
45	0	5	1	115
45	0	6	1	4
45	0	7	2	257
45	0	8	2	154
45	0	9	2	154
45	0	10	2	16
45	0	11	2	257
45	0	12	10	1976
46	0	1	1	1866
46	0	2	1	1
46	0	3	1	1866
46	0	4	1	1
46	0	5	3	181
46	0	6	3	181
47	0	1	1	462
47	0	2	1	428
47	0	3	1	462
47	0	4	1	48
47	0	5	1	428
47	0	6	1	48
47	0	7	1	14
47	0	8	1	14
47	0	9	1	3
47	0	10	1	3
47	0	11	2	50
47	0	12	2	60
47	0	13	2	60
47	0	14	2	50
47	0	15	3	727
47	0	16	3	727
47	0	17	8	512
48	0	1	1	1057
48	0	2	1	1057
48	0	3	1	30
48	0	4	1	30
48	0	5	10	570
48	0	6	10	1352
49	0	1	2	3526
49	0	2	2	76
49	0	3	2	12
49	0	4	4	56
49	0	5	4	34
49	0	6	4	56
49	0	7	4	34
49	0	8	6	151
49	0	9	6	151
50	0	1	1	1556
50	0	2	1	486
50	0	3	1	1556
50	0	4	1	486
50	0	5	1	1
50	0	6	1	1
50	0	7	2	5
50	0	8	2	5
51	0	1	1	101
51	0	2	1	220
51	0	3	1	34
51	0	4	1	220
51	0	5	1	34
51	0	6	1	101
51	0	7	1	23
51	0	8	1	5
51	0	9	1	23
51	0	10	1	5
51	0	11	2	606
51	0	12	2	256
51	0	13	2	219
51	0	14	2	256
51	0	15	2	178
51	0	16	2	102
51	0	17	2	197
51	0	18	2	197
51	0	19	2	178
51	0	20	2	75
51	0	21	2	75
51	0	22	2	606
51	0	23	2	219
51	0	24	2	25
51	0	25	2	102
51	0	26	2	14
51	0	27	2	25
52	0	1	1	900
52	0	2	1	900
52	0	3	2	770
52	0	4	2	83
52	0	5	2	24
52	0	6	2	770
52	0	7	2	83
52	0	8	2	24
52	0	9	2	18
52	0	10	2	18
52	0	11	3	42
52	0	12	3	42
52	0	13	4	121
52	0	14	4	90
52	0	15	4	121
52	0	16	4	90
53	0	1	1	499
53	0	2	1	499
53	0	3	3	17
53	0	4	3	46
53	0	5	3	193
53	0	6	3	467
53	0	7	3	218
53	0	8	3	193
53	0	9	3	467
53	0	10	3	41
53	0	11	3	218
53	0	12	3	41
53	0	13	3	46
53	0	14	3	23
53	0	15	3	23
53	0	16	3	17
53	0	17	16	1088
54	0	1	6	2018
54	0	2	6	2018
54	0	3	6	30
54	0	4	6	30
55	0	1	2	3536
55	0	2	2	372
55	0	3	2	12
55	0	4	8	176
56	0	1	1	2047
56	0	2	1	2047
56	0	3	2	2
57	0	1	1	450
57	0	2	1	450
57	0	3	10	438
57	0	4	20	2758
58	0	1	4	1994
58	0	2	4	1994
58	0	3	4	108
59	0	1	2	2048
59	0	2	2	2048
60	0	1	4	137
60	0	2	4	137
60	0	3	5	1498
60	0	4	5	1498
60	0	5	10	413
60	0	6	10	413
61	0	1	1	214
61	0	2	1	214
61	0	3	2	586
61	0	4	2	586
61	0	5	4	1248
61	0	6	4	1248
62	0	1	4	1122
62	0	2	4	28
62	0	3	6	2270
62	0	4	8	338
62	0	5	8	338
63	0	1	2	22
63	0	2	8	775
63	0	3	8	775
63	0	4	12	2524
64	0	1	2	118
64	0	2	2	1716
64	0	3	2	42
64	0	4	2	96
64	0	5	2	1716
64	0	6	2	111
64	0	7	2	118
64	0	8	2	111
64	0	9	2	28
64	0	10	2	28
64	0	11	4	6
64	0	12	4	6
65	0	1	2	4
65	0	2	4	324
65	0	3	4	324
65	0	4	4	38
65	0	5	4	38
65	0	6	4	114
65	0	7	4	114
65	0	8	6	2216
65	0	9	8	924
66	0	1	3	151
66	0	2	3	151
66	0	3	4	1791
66	0	4	4	1791
66	0	5	10	212
67	0	1	2	281
67	0	2	2	53
67	0	3	2	53
67	0	4	2	281
67	0	5	4	11
67	0	6	4	11
67	0	7	38	3406
68	0	1	1	112
68	0	2	1	112
68	0	3	2	1489
68	0	4	2	1489
68	0	5	2	234
68	0	6	2	234
68	0	7	2	174
68	0	8	2	174
68	0	9	2	4
68	0	10	2	4
68	0	11	2	35
68	0	12	2	35
69	0	1	4	114
69	0	2	4	114
69	0	3	12	1934
69	0	4	12	1934
70	0	1	2	4024
70	0	2	2	30
70	0	3	2	42
71	0	1	1	328
71	0	2	1	328
71	0	3	3	508
71	0	4	3	508
71	0	5	6	1212
71	0	6	6	1212
72	0	1	2	2594
72	0	2	6	1502
73	0	1	1	24
73	0	2	1	124
73	0	3	1	1135
73	0	4	1	570
73	0	5	1	1135
73	0	6	1	124
73	0	7	1	570
73	0	8	1	24
73	0	9	2	16
73	0	10	2	40
73	0	11	12	334
74	0	1	2	2872
74	0	2	2	8
74	0	3	8	1216
75	0	1	2	746
75	0	2	2	746
75	0	3	2	3
75	0	4	2	3
75	0	5	3	32
75	0	6	3	32
75	0	7	4	510
