Network_no	Model_no	func_type	derrida_coeff	net_sen	final_hamming	fragility
0	0	IMR	1.3359375	1.3359375	2.5147631835937503	2.3239978027343757
1	0	IMR	1.28125	1.28125	3.0630744934082035	0.4131735229492189
2	0	IMR	1.34765625	1.34765625	2.322540283203125	2.1710662841796875
3	0	IMR	1.3359375	1.3359375	4.842571487426758	1.8318180847167973
4	0	IMR	1.2734375	1.2734375	1.8562011718749996	1.3073242187499996
5	0	IMR	1.3515625	1.3515625	2.9979700469970703	2.2473392486572266
6	0	IMR	1.2578125	1.2578125	2.4351220703125005	1.5095550537109377
7	0	IMR	1.359375	1.359375	1.84642578125	0.26720703125
8	0	IMR	1.2890625	1.2890625	2.123291015625	2.123291015625
9	0	IMR	1.3828125	1.3828125	2.128345489501953	2.0328025817871094
10	0	IMR	1.19921875	1.19921875	1.7290892028808595	1.277523956298828
11	0	IMR	1.359375	1.359375	3.550238609313965	0.7054681777954102
12	0	IMR	1.390625	1.390625	2.077321014404297	2.077321014404297
13	0	IMR	1.29296875	1.29296875	2.258514404296875	2.258514404296875
14	0	IMR	1.296875	1.296875	2.026954345703125	0.9519931030273434
15	0	IMR	1.3046875	1.3046875	2.5320587158203125	2.5305938720703125
16	0	IMR	1.3359375	1.3359375	1.3453276062011719	1.314264221191407
17	0	IMR	1.296875	1.296875	3.4110990905761724	0.6742141723632813
18	0	IMR	1.29296875	1.29296875	1.611663818359375	0.426971435546875
19	0	IMR	1.328125	1.328125	2.6285400390625	2.6285400390625
20	0	IMR	1.375	1.375	3.3556245040893553	2.807769508361817
21	0	IMR	1.125	1.125	1.5367187499999997	1.32578125
22	0	IMR	1.4140625	1.4140625	2.2179412841796875	2.2179107666015625
23	0	IMR	1.3359375	1.3359375	1.7020721435546875	0.79541015625
24	0	IMR	1.265625	1.265625	3.157302856445313	1.9999237060546877
25	0	IMR	1.3984375	1.3984375	2.53802490234375	2.53802490234375
26	0	IMR	1.2421875	1.2421875	1.7696307373046878	1.4368774414062495
27	0	IMR	1.2734375	1.2734375	1.85321044921875	1.64434814453125
28	0	IMR	1.34375	1.34375	3.2546654510498048	0.5158015441894532
29	0	IMR	1.34765625	1.34765625	2.494659423828125	0.0
30	0	IMR	1.35546875	1.35546875	2.7201517486572278	0.8982053375244142
31	0	IMR	1.3828125	1.3828125	2.6234970092773438	2.4517440795898438
32	0	IMR	1.2421875	1.2421875	1.48809814453125	1.48809814453125
33	0	IMR	1.3046875	1.3046875	2.8053141784667965	2.31736343383789
34	0	IMR	1.21875	1.21875	1.87127685546875	1.87127685546875
35	0	IMR	1.26171875	1.26171875	1.4193115234375	0.5443115234375
36	0	IMR	1.1875	1.1875	1.78076171875	0.146484375
37	0	IMR	1.359375	1.359375	3.422551841735839	2.6023970413208013
38	0	IMR	1.375	1.375	1.994232177734375	1.994232177734375
39	0	IMR	1.3984375	1.3984375	3.3463134765625	3.3463134765625
40	0	IMR	1.2421875	1.2421875	2.2213287353515625	2.1461334228515625
41	0	IMR	1.265625	1.265625	1.0	0.0
42	0	IMR	1.328125	1.328125	1.727333984375	1.6557910156249998
43	0	IMR	1.3671875	1.3671875	2.5733795166015625	1.464752197265625
44	0	IMR	1.3671875	1.3671875	1.968170166015625	1.968170166015625
45	0	IMR	1.421875	1.421875	2.4342575073242188	2.4342575073242188
46	0	IMR	1.3046875	1.3046875	2.886016845703125	2.405364990234375
47	0	IMR	1.28515625	1.28515625	3.2283496856689453	3.2058277130126953
48	0	IMR	1.3828125	1.3828125	1.8934249877929688	1.8097915649414062
49	0	IMR	1.3359375	1.3359375	2.0528640747070312	1.6616973876953125
50	0	IMR	1.265625	1.265625	1.5234375	1.5234375
51	0	IMR	1.2421875	1.2421875	2.5953826904296875	1.9407501220703125
52	0	IMR	1.359375	1.359375	2.2777442932128906	2.0012779235839844
53	0	IMR	1.39453125	1.39453125	2.6843414306640625	2.6313934326171875
54	0	IMR	1.1875	1.1875	1.99114990234375	1.487060546875
55	0	IMR	1.33203125	1.33203125	2.8605499267578125	2.8605499267578125
56	0	IMR	1.2734375	1.2734375	1.521240234375	1.39599609375
57	0	IMR	1.390625	1.390625	1.8021941757202151	1.1921792984008786
58	0	IMR	1.3046875	1.3046875	2.156879425048828	2.0839309692382812
59	0	IMR	1.2734375	1.2734375	2.5131988525390625	2.5131988525390625
60	0	IMR	1.4296875	1.4296875	2.5025640869140635	2.1747180175781247
61	0	IMR	1.234375	1.234375	2.307952880859375	2.148040771484375
62	0	IMR	1.34375	1.34375	2.3734130859375	2.3734130859375
63	0	IMR	1.2421875	1.2421875	2.24609375	2.24609375
64	0	IMR	1.296875	1.296875	1.141510009765625	1.141510009765625
65	0	IMR	1.3828125	1.3828125	1.60345458984375	1.60345458984375
66	0	IMR	1.39453125	1.39453125	2.1011962890625	2.1011962890625
67	0	IMR	1.3203125	1.3203125	1.6618804931640625	0.6061553955078125
68	0	IMR	1.40234375	1.40234375	1.3760833740234375	0.8804779052734375
69	0	IMR	1.390625	1.390625	2.377361297607422	2.377361297607422
70	0	IMR	1.2109375	1.2109375	1.280059814453125	0.007775268554687507
71	0	IMR	1.296875	1.296875	1.715667724609375	1.715667724609375
72	0	IMR	1.4375	1.4375	2.799617156982422	0.9707820510864259
73	0	IMR	1.21875	1.21875	1.08203125	0.14453125
74	0	IMR	1.328125	1.328125	2.8286666870117188	2.8286666870117188
75	0	IMR	1.234375	1.234375	1.337646484375	1.337646484375
76	0	IMR	1.1875	1.1875	2.381933593749999	1.4853515625
77	0	IMR	1.3359375	1.3359375	1.578125	1.578125
78	0	IMR	1.3203125	1.3203125	2.010442237854004	2.010442237854004
79	0	IMR	1.328125	1.328125	2.008544921875	1.9995651245117188
80	0	IMR	1.3359375	1.3359375	1.610107421875	1.610107421875
81	0	IMR	1.328125	1.328125	1.6233935546875002	0.5714770507812501
82	0	IMR	1.375	1.375	2.4592666625976562	1.753265380859375
83	0	IMR	1.3203125	1.3203125	1.9647193908691407	1.0954134368896487
84	0	IMR	1.3828125	1.3828125	2.9739339447021482	2.6904887390136727
85	0	IMR	1.2734375	1.2734375	1.8359375	0.0
86	0	IMR	1.1875	1.1875	1.0	0.375
87	0	IMR	1.40625	1.40625	2.137481689453125	2.137481689453125
88	0	IMR	1.34765625	1.34765625	1.5250244140625	1.2125244140625
89	0	IMR	1.328125	1.328125	1.850341796875	1.850341796875
90	0	IMR	1.2890625	1.2890625	2.945587158203125	2.435832977294922
91	0	IMR	1.3828125	1.3828125	1.774810791015625	1.774810791015625
92	0	IMR	1.328125	1.328125	1.5955352783203125	1.2860870361328125
93	0	IMR	1.46484375	1.46484375	3.2086524963378906	2.8937911987304688
94	0	IMR	1.37109375	1.37109375	2.6335802459716793	1.0910303497314453
95	0	IMR	1.359375	1.359375	2.590377616882324	0.023017883300781274
96	0	IMR	1.125	1.125	2.2843017578125	1.2344970703125
97	0	IMR	1.24609375	1.24609375	2.078564453125	0.48706054687499994
98	0	IMR	1.2421875	1.2421875	1.32177734375	1.24365234375
99	0	IMR	1.265625	1.265625	1.487884521484375	1.487884521484375
100	0	IMR	1.41796875	1.41796875	2.921549377441406	0.911630859375
101	0	IMR	1.234375	1.234375	1.302809600830078	1.3028096008300778
102	0	IMR	1.328125	1.328125	1.7529373168945312	1.7529373168945312
103	0	IMR	1.359375	1.359375	2.7803292846679684	2.7803292846679684
104	0	IMR	1.39453125	1.39453125	2.2855224609375	2.2230224609375
105	0	IMR	1.3515625	1.3515625	2.2071986007690434	2.0206675338745113
106	0	IMR	1.34375	1.34375	3.9582748413085938	3.9582748413085938
107	0	IMR	1.375	1.375	3.875446166992188	3.426324615478515
108	0	IMR	1.265625	1.265625	1.5302734375	1.5302734375
109	0	IMR	1.328125	1.328125	2.1710968017578125	2.165496826171875
110	0	IMR	1.4453125	1.4453125	2.9677963256835938	2.8885345458984375
111	0	IMR	1.21875	1.21875	1.447265625	0.9793359375000003
112	0	IMR	1.2734375	1.2734375	2.8933258056640625	2.8933258056640625
113	0	IMR	1.38671875	1.38671875	2.6809280395507806	0.1602993774414063
114	0	IMR	1.43359375	1.43359375	2.6959405136108394	2.5396384048461904
115	0	IMR	1.453125	1.453125	2.0785064697265625	2.0785064697265625
116	0	IMR	1.3046875	1.3046875	3.6139314270019516	1.0778437805175782
