	k	BF	sign	bias	self_loop	self_loop_index	Real_k	ineff_inps	Real_sign	real_bias	EF_BF
0	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	0	0	[0, 1, 2, 3, 4, 5, 6]	constant	0	0
1	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	1	0	[0, 1, 2, 3, 4, 5, 6]	constant	0	0
2	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	2	0	[0, 1, 2, 3, 4, 5, 6]	constant	0	0
3	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	3	0	[0, 1, 2, 3, 4, 5, 6]	constant	0	0
4	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	4	0	[0, 1, 2, 3, 4, 5, 6]	constant	0	0
5	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	5	0	[0, 1, 2, 3, 4, 5, 6]	constant	0	0
6	7	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiii	0	Y	6	0	[0, 1, 2, 3, 4, 5, 6]	constant	0	0
7	7	01000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000	iiiiiia	2	Y	0	6	[0]	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000
8	7	01000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiia	2	Y	1	6	[1]	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000
9	7	01000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiia	2	Y	2	6	[2]	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000
10	7	01000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiia	2	Y	3	6	[3]	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000
11	7	01000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiia	2	Y	4	6	[4]	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000
12	7	01010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiia	2	Y	5	6	[5]	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000
13	7	01010100010000000100000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000	iiiiiia	7	Y	6	7	[]	iiiiiia	7	01010100010000000100000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000
14	7	00100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000	iiiiiai	2	Y	0	6	[0]	iiiiai	1	0010000000000000000000000000000000000000000000000000000000000000
15	7	00100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiai	2	Y	1	6	[1]	iiiiai	1	0010000000000000000000000000000000000000000000000000000000000000
16	7	00100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiai	2	Y	2	6	[2]	iiiiai	1	0010000000000000000000000000000000000000000000000000000000000000
