	k	BF	sign	bias	self_loop	self_loop_index	Real_k	ineff_inps	Real_sign	real_bias	EF_BF
0	3	00000000	iii	0	Y	0	0	[0, 1, 2]	constant	0	0
1	3	00000000	iii	0	Y	1	0	[0, 1, 2]	constant	0	0
2	3	00000000	iii	0	Y	2	0	[0, 1, 2]	constant	0	0
3	3	01000100	iia	2	Y	0	2	[0]	ia	1	0100
4	3	01010000	iia	2	Y	1	2	[1]	ia	1	0100
5	3	01010100	iia	3	Y	2	3	[]	iia	3	01010100
6	3	00100010	iai	2	Y	0	2	[0]	ai	1	0010
7	3	00110010	iai	3	Y	1	3	[]	iai	3	00110010
8	3	00110000	iai	2	Y	2	2	[2]	ia	1	0100
9	3	01110111	iaa	6	Y	0	2	[0]	aa	3	0111
10	3	01110011	iaa	5	Y	1	3	[]	iaa	5	01110011
11	3	01110101	iaa	5	Y	2	3	[]	iaa	5	01110101
12	3	00001110	aii	3	Y	0	3	[]	aii	3	00001110
13	3	00001010	aii	2	Y	1	2	[1]	ai	1	0010
14	3	00001100	aii	2	Y	2	2	[2]	ai	1	0010
15	3	01001111	aia	5	Y	0	3	[]	aia	5	01001111
16	3	01011111	aia	6	Y	1	2	[1]	aa	3	0111
17	3	01011101	aia	5	Y	2	3	[]	aia	5	01011101
18	3	00101111	aai	5	Y	0	3	[]	aai	5	00101111
19	3	00111011	aai	5	Y	1	3	[]	aai	5	00111011
20	3	00111111	aai	6	Y	2	2	[2]	aa	3	0111
21	3	01111111	aaa	7	Y	0	3	[]	aaa	7	01111111
22	3	01111111	aaa	7	Y	1	3	[]	aaa	7	01111111
23	3	01111111	aaa	7	Y	2	3	[]	aaa	7	01111111
24	3	0100000000000000	iii	1	N	NA	3	[]	iiia	1	0100000000000000
25	3	0111000100010000	iia	5	N	NA	3	[]	iiaa	5	0111000100010000
26	3	0100110100000100	iai	5	N	NA	3	[]	iaia	5	0100110100000100
27	3	0111111100010111	iaa	11	N	NA	3	[]	iaaa	11	0111111100010111
28	3	0100000011010100	aii	5	N	NA	3	[]	aiia	5	0100000011010100
29	3	0111000111110111	aia	11	N	NA	3	[]	aiaa	11	0111000111110111
30	3	0100110111011111	aai	11	N	NA	3	[]	aaia	11	0100110111011111
31	3	0111111111111111	aaa	15	N	NA	3	[]	aaaa	15	0111111111111111
