	k	All	EThF	NCF	ising	bit	non_NCF_bit	non_bit_NCF	bit_intersect_NCF	NCF_frac_in_EThF	ising_frac_in_EThF	bit_frac_in_EThF	non_NCF_bit_frac_in_EThF	non_bit_NCF_frac_in_EThF	bit_intersect_NCF_frac_in_EThF
0	1	2	2	2	2	2	0	0	2	1.0	1.0	1.0	0.0	0.0	1.0
1	2	9	9	9	0	3	0	6	3	1.0	0.0	0.3333333333333333	0.0	0.6666666666666666	0.3333333333333333
2	3	71	71	71	0	8	0	63	8	1.0	0.0	0.11267605633802817	0.0	0.8873239436619719	0.11267605633802817
3	4	38	36	35	0	0	0	35	0	0.9722222222222222	0.0	0.0	0.0	0.9722222222222222	0.0
4	5	19	16	16	0	0	0	16	0	1.0	0.0	0.0	0.0	1.0	0.0
