	k	All	EThF	NCF	ising	bit	non_NCF_bit	non_bit_NCF	bit_intersect_NCF	NCF_frac_in_EThF	ising_frac_in_EThF	bit_frac_in_EThF	non_NCF_bit_frac_in_EThF	non_bit_NCF_frac_in_EThF	bit_intersect_NCF_frac_in_EThF
0	1	953	953	953	953	812	0	141	812	1.0	1.0	0.8520461699895068	0.0	0.14795383001049317	0.8520461699895068
1	2	689	689	689	0	460	0	229	460	1.0	0.0	0.6676342525399129	0.0	0.33236574746008707	0.6676342525399129
2	3	402	401	388	13	140	12	260	128	0.9675810473815462	0.032418952618453865	0.3491271820448878	0.029925187032418952	0.6483790523690773	0.3192019950124688
3	4	259	244	238	0	52	3	189	49	0.9754098360655737	0.0	0.21311475409836064	0.012295081967213115	0.7745901639344263	0.20081967213114754
4	5	155	135	125	0	25	4	104	21	0.9259259259259259	0.0	0.18518518518518517	0.02962962962962963	0.7703703703703704	0.15555555555555556
5	6	99	76	67	0	3	0	64	3	0.881578947368421	0.0	0.039473684210526314	0.0	0.8421052631578947	0.039473684210526314
6	7	49	35	35	0	0	0	35	0	1.0	0.0	0.0	0.0	1.0	0.0
7	8	45	27	27	0	1	0	26	1	1.0	0.0	0.037037037037037035	0.0	0.9629629629629629	0.037037037037037035
8	9	19	7	7	0	1	0	6	1	1.0	0.0	0.14285714285714285	0.0	0.8571428571428571	0.14285714285714285
