	BF_as_int	k	avg_sen	bias
172	1807	6	0.75	7
173	1089871109823660031	6	0.75	57
174	16974595	6	0.75	7
175	4557431166910595071	6	0.75	57
176	1245235	6	0.75	7
177	3746774987646697471	6	0.75	57
178	127	6	0.75	7
179	144115188075855871	6	0.75	57
180	281487861809155	6	0.75	7
181	4611474908973596671	6	0.75	57
182	1172526076177	6	0.75	7
183	8608630685428613119	6	0.75	57
184	281496451874821	6	0.75	7
185	6917353103096250367	6	0.75	57
186	30064771087	6	0.75	7
187	1152921500848750591	6	0.75	57
188	81604378675	6	0.75	7
189	3746994886616809471	6	0.75	57
190	281547992268817	6	0.75	7
191	8646761748688240639	6	0.75	57
192	50529043	6	0.875	9
193	3980970139729264639	6	0.875	55
194	219043397683	6	0.875	9
195	3746854149061345279	6	0.875	55
196	18764712120595	6	0.875	9
197	3996944667000700927	6	0.875	55
198	84215061	6	0.875	9
199	6295855670008741887	6	0.875	55
200	4294967551	6	0.875	9
201	72057591890444287	6	0.875	55
202	4294989141	6	0.875	9
203	6149102339073507327	6	0.875	55
204	4294971151	6	0.875	9
205	1085367508048805887	6	0.875	55
206	64424509711	6	0.875	9
207	1116892703561351167	6	0.875	55
208	844437815230471	6	0.875	9
209	2305631899759886335	6	0.875	55
210	511	6	0.875	9
211	36028797018963967	6	0.875	55
212	18764712186129	6	0.875	9
213	8608489947939733503	6	0.875	55
214	5519033042181	6	0.875	9
215	6872352291184181247	6	0.875	55
216	844437815230723	6	0.875	9
217	4575446111954616319	6	0.875	55
218	4785147619639569	6	0.875	9
219	8610732951669274623	6	0.875	55
220	50529031	6	0.875	9
221	2251587882818994175	6	0.875	55
222	365072220501	6	0.875	9
223	6160924287390711807	6	0.875	55
224	3311419786003	6	0.875	9
225	3981182067361710079	6	0.875	55
226	3311419851523	6	0.875	9
227	4557502082176778239	6	0.875	55
228	5519032976647	6	0.875	9
229	2260807010245148671	6	0.875	55
230	65791	6	0.875	9
231	71916856549572607	6	0.875	55
232	4785147619639315	6	0.875	9
233	4035075730260850687	6	0.875	55
234	3871	6	0.875	9
235	508906757892866047	6	0.875	55
236	72340172838076675	6	0.875	9
237	4575515932008349567	6	0.875	55
238	4294980403	6	0.875	9
