node	FHF	SHF
v_Bmp2	1	0
v_Dkk1	0	0
v_Fgf8	0	1
v_Foxc1_2	0	1
v_GATAs	1	1
v_Isl1	0	1
v_Mesp1	0	0
v_Nkx2_5	1	1
v_Tbx1	0	1
v_Tbx5	1	0
v_canWnt	0	1
v_exogen_BMP2_II	1	1
v_exogen_canWnt_II	0	1
v_exogen_CanWnt_I	0	1
v_exogen_BMP2_I	1	1
