node	Th0	Th1	Th2
v_GATA3	0	0	1
v_IFNbR	0	0	0
v_IFNg	0	1	0
v_IFNgR	0	1	0
v_IL10	0	0	1
v_IL10R	0	0	1
v_IL12R	0	0	0
v_IL18R	0	0	0
v_IL4	0	0	1
v_IL4R	0	0	1
v_IRAK	0	0	0
v_JAK1	0	0	0
v_NFAT	0	0	0
v_SOCS1	0	1	0
v_STAT1	0	0	0
v_STAT3	0	0	1
v_STAT4	0	0	0
v_STAT6	0	0	1
v_Tbet	0	1	0
v_IFNb	0	0	0
v_IL12	0	0	0
v_TCR	0	0	0
v_IL18	0	0	0
