	Unnamed: 0	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF	avg_sen	complexity
0	0	2	1010	ii	2	Y	0	1	i	1	10	1.0	1
1	1	2	1100	ii	2	Y	1	1	i	1	10	1.0	1
2	2	2	101	ia	2	Y	0	1	a	1	01	1.0	1
3	3	2	101	ia	2	Y	1	1	a	1	01	1.0	1
4	4	2	11	ai	2	Y	0	1	a	1	01	1.0	1
5	5	2	11	ai	2	Y	1	1	a	1	01	1.0	1
6	6	2	11	aa	2	Y	0	1	a	1	01	1.0	1
7	7	2	101	aa	2	Y	1	1	a	1	01	1.0	1
8	8	2	10001110	ii	4	N	0	3	aii	4	10001110	1.5	5
9	9	2	1001101	ia	4	N	0	3	aia	4	01001101	1.5	5
10	10	2	101011	ai	4	N	0	3	aai	4	00101011	1.5	5
11	11	2	10111	aa	4	N	0	3	aaa	4	00010111	1.5	5
12	12	2	10110010	ii	4	N	1	3	iai	4	10110010	1.5	5
13	13	2	1110001	ia	4	N	1	3	iaa	4	01110001	1.5	5
14	14	2	101011	ai	4	N	1	3	aai	4	00101011	1.5	5
15	15	2	10111	aa	4	N	1	3	aaa	4	00010111	1.5	5
16	16	2	11010100	ii	4	N	2	3	iia	4	11010100	1.5	5
17	17	2	1110001	ia	4	N	2	3	iaa	4	01110001	1.5	5
18	18	2	1001101	ai	4	N	2	3	aia	4	01001101	1.5	5
19	19	2	10111	aa	4	N	2	3	aaa	4	00010111	1.5	5
