from	to	sign
v_canWnt	v_Bmp2	i
v_exogen_BMP2_II	v_Bmp2	a
v_canWnt	v_Dkk1	a
v_exogen_BMP2_II	v_Dkk1	i
v_Mesp1	v_Dkk1	a
v_Tbx1	v_Fgf8	a
v_Foxc1_2	v_Fgf8	a
v_Mesp1	v_Fgf8	i
v_canWnt	v_Foxc1_2	a
v_exogen_canWnt_II	v_Foxc1_2	a
v_Tbx5	v_GATAs	a
v_Mesp1	v_GATAs	a
v_Nkx2_5	v_GATAs	a
v_Fgf8	v_Isl1	a
v_Mesp1	v_Isl1	a
v_Tbx1	v_Isl1	a
v_canWnt	v_Isl1	a
v_exogen_canWnt_II	v_Isl1	a
v_canWnt	v_Mesp1	a
v_exogen_BMP2_II	v_Mesp1	i
v_Bmp2	v_Nkx2_5	a
v_Dkk1	v_Nkx2_5	a
v_GATAs	v_Nkx2_5	a
v_Isl1	v_Nkx2_5	a
v_Mesp1	v_Nkx2_5	a
v_Tbx1	v_Nkx2_5	a
v_Tbx5	v_Nkx2_5	a
v_Foxc1_2	v_Tbx1	a
v_Dkk1	v_Tbx5	i
v_Mesp1	v_Tbx5	a
v_Nkx2_5	v_Tbx5	a
v_Tbx1	v_Tbx5	i
v_Tbx5	v_Tbx5	a
v_canWnt	v_Tbx5	i
v_exogen_canWnt_II	v_canWnt	a
v_exogen_BMP2_I	v_exogen_BMP2_II	a
v_exogen_CanWnt_I	v_exogen_canWnt_II	a
v_exogen_CanWnt_I	v_exogen_CanWnt_I	a
v_exogen_BMP2_I	v_exogen_BMP2_I	a
