Network_no	Model_no	func_type	derrida_coeff	net_sen	final_hamming	fragility
0	0	IMR	1.4375	1.4375	2.4698562622070312	2.4698562622070312
1	0	IMR	1.375	1.375	2.0510635375976562	2.0510635375976562
2	0	IMR	1.4375	1.4375	2.3365325927734375	2.3365325927734375
3	0	IMR	1.5	1.5	2.3685989379882812	2.3685989379882812
4	0	IMR	1.4375	1.4375	2.0618362426757812	2.0618362426757812
5	0	IMR	1.4375	1.4375	2.5558319091796875	2.5558319091796875
6	0	IMR	1.40625	1.40625	1.7264938354492188	1.7264938354492188
7	0	IMR	1.46875	1.46875	2.349578857421875	2.349578857421875
8	0	IMR	1.375	1.375	2.3440628051757812	2.3440628051757812
9	0	IMR	1.4375	1.4375	2.545806884765625	2.545806884765625
10	0	IMR	1.4375	1.4375	2.0173110961914062	2.0173110961914062
11	0	IMR	1.4375	1.4375	2.0835723876953125	2.0835723876953125
12	0	IMR	1.4375	1.4375	2.1566619873046875	2.1566619873046875
13	0	IMR	1.375	1.375	3.1646347045898438	3.1646347045898438
14	0	IMR	1.46875	1.46875	2.1453323364257812	2.1453323364257812
15	0	IMR	1.46875	1.46875	2.5837440490722656	2.5833778381347656
16	0	IMR	1.46875	1.46875	1.8560409545898438	1.8560409545898438
17	0	IMR	1.5	1.5	2.5732574462890625	2.5732574462890625
18	0	IMR	1.4375	1.4375	1.9435958862304688	1.9435958862304688
19	0	IMR	1.4375	1.4375	2.470600128173828	2.470600128173828
20	0	IMR	1.5	1.5	2.7908874511718746	2.790863037109375
21	0	IMR	1.40625	1.40625	2.3328170776367188	2.3328170776367188
22	0	IMR	1.40625	1.40625	3.094383506774902	3.0714220809936523
23	0	IMR	1.4375	1.4375	2.5186004638671875	2.5186004638671875
24	0	IMR	1.4375	1.4375	2.82275390625	2.82275390625
25	0	IMR	1.5	1.5	2.6770172119140625	2.6770172119140625
26	0	IMR	1.4375	1.4375	2.4463919067382816	2.4463919067382816
27	0	IMR	1.5	1.5	2.4646987915039062	2.4646987915039062
28	0	IMR	1.40625	1.40625	1.8094711303710938	1.8094711303710938
29	0	IMR	1.40625	1.40625	2.14947509765625	2.14947509765625
30	0	IMR	1.375	1.375	1.7294769287109375	1.7294769287109375
31	0	IMR	1.46875	1.46875	2.3111724853515625	2.3111724853515625
32	0	IMR	1.375	1.375	2.1703720092773438	2.1703720092773438
33	0	IMR	1.4375	1.4375	2.0480422973632812	2.0480422973632812
34	0	IMR	1.4375	1.4375	2.311431884765625	2.311431884765625
35	0	IMR	1.34375	1.34375	1.918304443359375	1.918304443359375
36	0	IMR	1.5	1.5	3.1729812622070312	3.1729812622070312
37	0	IMR	1.375	1.375	1.7987594604492188	1.7987594604492188
38	0	IMR	1.4375	1.4375	2.4164581298828125	2.4164581298828125
39	0	IMR	1.4375	1.4375	2.3622817993164062	2.3622817993164062
40	0	IMR	1.46875	1.46875	2.5907058715820312	2.5907058715820312
41	0	IMR	1.5	1.5	2.5289077758789062	2.5289077758789062
42	0	IMR	1.375	1.375	1.9923858642578125	1.9923858642578125
43	0	IMR	1.40625	1.40625	2.1209869384765625	2.1209869384765625
44	0	IMR	1.4375	1.4375	2.20391845703125	2.20391845703125
45	0	IMR	1.4375	1.4375	2.3058090209960938	2.3058090209960938
46	0	IMR	1.40625	1.40625	1.9132843017578125	1.9132843017578125
47	0	IMR	1.46875	1.46875	2.5831985473632812	2.5831985473632812
48	0	IMR	1.46875	1.46875	2.4081649780273438	2.4081649780273438
49	0	IMR	1.46875	1.46875	2.3384323120117188	2.3384323120117188
50	0	IMR	1.40625	1.40625	2.2966842651367188	2.2966842651367188
51	0	IMR	1.4375	1.4375	2.3785858154296875	2.3785858154296875
52	0	IMR	1.5	1.5	2.4179611206054688	2.4179611206054688
53	0	IMR	1.375	1.375	1.8917236328125	1.8917236328125
54	0	IMR	1.40625	1.40625	1.6541061401367188	1.6541061401367188
55	0	IMR	1.46875	1.46875	2.041656494140625	2.041656494140625
56	0	IMR	1.40625	1.40625	2.3433761596679688	2.3433761596679688
57	0	IMR	1.46875	1.46875	2.4340591430664062	2.4340591430664062
58	0	IMR	1.40625	1.40625	2.2695236206054688	2.2695236206054688
59	0	IMR	1.40625	1.40625	1.9801788330078125	1.9801788330078125
60	0	IMR	1.46875	1.46875	2.3934707641601562	2.3934707641601562
61	0	IMR	1.34375	1.34375	2.019805908203125	2.019805908203125
62	0	IMR	1.46875	1.46875	2.279693603515625	2.279693603515625
63	0	IMR	1.5	1.5	2.4504928588867188	2.4504928588867188
64	0	IMR	1.375	1.375	1.9607467651367188	1.9607467651367188
