Network_no	Model_no	func_type	derrida_coeff	net_sen	final_hamming	fragility
0	0	scNCF	1.1875	1.1875	1.3450326919555664	0.05684852600097656
1	0	scNCF	1.09375	1.09375	0.47862419128417955	0.47862419128417955
2	0	scNCF	1.125	1.125	1.237267379760742	0.350474090576172
3	0	scNCF	1.125	1.125	0.5955393600463867	0.19367534637451173
4	0	scNCF	1.125	1.125	0.34041595458984375	0.0
5	0	scNCF	1.0625	1.0625	0.7784949684143065	0.056364822387695315
6	0	scNCF	1.125	1.125	2.4371618652343754	0.3531439208984375
7	0	scNCF	1.21875	1.21875	2.0321853446960447	1.8056480979919434
8	0	scNCF	1.15625	1.15625	1.8767154121398921	0.7741029739379883
9	0	scNCF	1.125	1.125	0.0	0.0
10	0	scNCF	1.15625	1.15625	2.0731332206726076	0.7231878662109376
11	0	scNCF	1.09375	1.09375	0.9070625305175781	0.8474311828613281
12	0	scNCF	1.09375	1.09375	1.3306020164489742	0.3246567344665529
13	0	scNCF	1.03125	1.03125	2.138898105621337	1.4863000297546385
14	0	scNCF	1.125	1.125	1.424363708496094	0.0
15	0	scNCF	1.09375	1.09375	0.8721294403076172	0.6704139709472656
16	0	scNCF	1.03125	1.03125	1.4010982513427734	1.277761459350586
17	0	scNCF	1.15625	1.15625	0.00567626953125	0.00567626953125
18	0	scNCF	1.0625	1.0625	0.423248291015625	0.0
19	0	scNCF	1.0625	1.0625	0.8291740417480469	0.8022985458374023
20	0	scNCF	1.0625	1.0625	1.5258956718444818	0.2363621520996093
21	0	scNCF	1.1875	1.1875	0.2547035217285156	0.2547035217285156
22	0	scNCF	1.125	1.125	1.8802043724060058	1.1939053726196294
23	0	scNCF	1.0625	1.0625	0.5362234497070314	0.29879997253417967
24	0	scNCF	1.125	1.125	1.8363448524475092	1.2912348747253415
25	0	scNCF	1.125	1.125	2.6330566596984855	0.9736080551147461
26	0	scNCF	1.1875	1.1875	2.0237886238098146	1.6196461486816405
27	0	scNCF	1.125	1.125	1.5516729354858398	0.5834779739379883
28	0	scNCF	1.1875	1.1875	1.177040863037109	0.22109298706054695
29	0	scNCF	1.15625	1.15625	1.6615486145019531	1.4475593566894531
30	0	scNCF	1.125	1.125	1.0586833953857422	0.8963394165039062
31	0	scNCF	1.1875	1.1875	3.176668891906739	1.349676818847656
32	0	scNCF	1.21875	1.21875	2.664267597198487	0.27612432479858406
33	0	scNCF	1.15625	1.15625	1.4825506210327148	0.8373928070068359
34	0	scNCF	0.96875	0.96875	0.4917259216308594	0.4909934997558594
35	0	scNCF	1.125	1.125	0.8729681968688965	0.5068588256835938
36	0	scNCF	1.15625	1.15625	0.9449672698974609	0.9214305877685547
37	0	scNCF	1.1875	1.1875	3.412301521301269	0.9385000228881836
38	0	scNCF	1.15625	1.15625	1.0758380889892578	0.8960056304931641
39	0	scNCF	1.03125	1.03125	0.0	0.0
